video_name,male_count,female_count,final
v_ApplyEyeMakeup_g01_c01,1,49,female
v_ApplyEyeMakeup_g02_c01,14,36,female
v_ApplyEyeMakeup_g03_c01,1,49,female
v_ApplyEyeMakeup_g04_c01,40,10,male
v_ApplyEyeMakeup_g05_c01,3,47,female
v_ApplyEyeMakeup_g06_c01,33,17,male
v_ApplyEyeMakeup_g07_c01,4,46,female
v_ApplyEyeMakeup_g08_c01,44,6,male
v_ApplyEyeMakeup_g09_c01.,0,50,female
v_ApplyEyeMakeup_g10_c01,4,46,female
v_ApplyEyeMakeup_g11_c01,3,47,female
v_ApplyEyeMakeup_g12_c01,1,49,female
v_ApplyEyeMakeup_g13_c01,2,48,female
v_ApplyEyeMakeup_g14_c01,1,49,female
v_ApplyEyeMakeup_g15_c01,1,49,female
v_ApplyEyeMakeup_g16_c01,2,48,female
v_ApplyEyeMakeup_g17_c01,16,34,female
v_ApplyEyeMakeup_g18_c01,1,49,female
v_ApplyEyeMakeup_g19_c01.,0,50,female
v_ApplyEyeMakeup_g20_c01,41,9,male
v_ApplyEyeMakeup_g21_c01,0,50,female
v_ApplyEyeMakeup_g22_c01,0,50,female
v_ApplyEyeMakeup_g23_c01,1,49,female
v_ApplyEyeMakeup_g24_c01,29,21,male
v_ApplyEyeMakeup_g25_c01.,2,48,female
v_ApplyEyeMakeup_g26_c01,2,48,female
v_ApplyEyeMakeup_g27_c01,0,50,female
v_ApplyEyeMakeup_g28_c01,13,37,female
v_ApplyEyeMakeup_g29_c01.,10,40,female
v_ApplyEyeMakeup_g30_c01,6,44,female
v_ApplyEyeMakeup_g31_c01.,18,32,female
v_ApplyEyeMakeup_g32_c01,1,49,female
v_ApplyEyeMakeup_g33_c01,0,50,female
v_ApplyEyeMakeup_g34_c01,3,47,female
v_ApplyEyeMakeup_g35_c01.,0,50,female
v_ApplyEyeMakeup_g36_c01,7,43,female
v_ApplyEyeMakeup_g37_c01,0,50,female
v_ApplyEyeMakeup_g38_c01,10,40,female
v_ApplyEyeMakeup_g39_c01,3,47,female
v_ApplyEyeMakeup_g40_c01,11,39,female
v_ApplyEyeMakeup_g41_c01,12,38,female
v_ApplyLipstick_g01_c01,1,49,female
v_ApplyLipstick_g02_c01.,0,50,female
v_ApplyLipstick_g03_c01,1,49,female
v_ApplyLipstick_g04_c01,0,50,female
v_ApplyLipstick_g05_c01,7,43,female
v_ApplyLipstick_g06_c01.,8,42,female
v_ApplyLipstick_g07_c01,0,50,female
v_ApplyLipstick_g08_c01,0,50,female
v_ApplyLipstick_g09_c01.,2,48,female
v_ApplyLipstick_g10_c01,34,16,male
v_ApplyLipstick_g11_c01,28,22,male
v_ApplyLipstick_g12_c01,14,36,female
v_ApplyLipstick_g13_c01,0,50,female
v_ApplyLipstick_g14_c01,4,46,female
v_ApplyLipstick_g15_c01,4,46,female
v_ApplyLipstick_g16_c01,8,42,female
v_ApplyLipstick_g17_c01,2,48,female
v_ApplyLipstick_g18_c01,3,47,female
v_ApplyLipstick_g19_c01,2,48,female
v_ApplyLipstick_g20_c01,0,50,female
v_ApplyLipstick_g21_c01,4,46,female
v_ApplyLipstick_g22_c01,8,42,female
v_ApplyLipstick_g23_c01,0,50,female
v_ApplyLipstick_g24_c01.,4,46,female
v_ApplyLipstick_g25_c01.,41,9,male
v_ApplyLipstick_g26_c01.,2,48,female
v_ApplyLipstick_g27_c01,47,3,male
v_ApplyLipstick_g28_c01,30,20,male
v_ApplyLipstick_g29_c01,31,19,male
v_ApplyLipstick_g30_c01,0,50,female
v_ApplyLipstick_g31_c01.,11,39,female
v_ApplyLipstick_g32_c01.,4,46,female
v_ApplyLipstick_g33_c01.,17,33,female
v_ApplyLipstick_g34_c01.,1,49,female
v_ApplyLipstick_g35_c01,4,46,female
v_ApplyLipstick_g36_c01,26,24,male
v_ApplyLipstick_g37_c01,50,0,male
v_ApplyLipstick_g38_c01,0,50,female
v_ApplyLipstick_g39_c01,2,48,female
v_ApplyLipstick_g40_c01.,1,49,female
v_ApplyLipstick_g41_c01,0,50,female
v_ApplyLipstick_g42_c01,0,50,female
v_ApplyLipstick_g43_c01,4,46,female
v_ApplyLipstick_g44_c01,2,48,female
v_ApplyLipstick_g45_c01,4,46,female
v_ApplyLipstick_g46_c01.,7,43,female
v_ApplyLipstick_g47_c01,2,48,female
v_ApplyLipstick_g48_c01,1,49,female
v_ApplyLipstick_g49_c01,2,48,female
v_ApplyLipstick_g50_c01,8,42,female
v_Archery_g01_c01.,46,4,male
v_Archery_g02_c01,48,2,male
v_Archery_g03_c01,27,23,male
v_Archery_g04_c01.,43,7,male
v_Archery_g05_c01,43,7,male
v_Archery_g06_c01,48,2,male
v_Archery_g07_c01,8,42,female
v_Archery_g08_c01.,44,6,male
v_Archery_g09_c01,2,48,female
v_Archery_g10_c01,17,33,female
v_Archery_g11_c01,46,4,male
v_Archery_g12_c01,19,31,female
v_Archery_g13_c01,28,22,male
v_Archery_g14_c01,42,8,male
v_Archery_g15_c01,50,0,male
v_Archery_g16_c01.,40,10,male
v_Archery_g17_c01.,49,1,male
v_Archery_g18_c01,48,2,male
v_Archery_g19_c01,17,33,female
v_Archery_g20_c01,49,1,male
v_Archery_g21_c01.,27,23,male
v_Archery_g22_c01,50,0,male
v_Archery_g23_c01.,50,0,male
v_Archery_g24_c01,45,5,male
v_Archery_g25_c01,18,32,female
v_Archery_g26_c01,48,2,male
v_Archery_g27_c01.,45,5,male
v_Archery_g28_c01,49,1,male
v_Archery_g29_c01,45,5,male
v_Archery_g30_c01,27,23,male
v_Archery_g31_c01.,23,27,female
v_Archery_g32_c01,28,22,male
v_Archery_g33_c01,12,38,female
v_Archery_g34_c01,14,35,female
v_Archery_g35_c01,49,1,male
v_Archery_g36_c01,43,7,male
v_Archery_g37_c01.,34,16,male
v_Archery_g38_c01,47,3,male
v_Archery_g39_c01,45,5,male
v_Archery_g40_c01,8,42,female
v_Archery_g41_c01,39,11,male
v_Archery_g42_c01,43,7,male
v_Archery_g43_c01,46,4,male
v_Archery_g44_c01,30,20,male
v_Archery_g45_c01,0,50,female
v_Archery_g46_c01.,50,0,male
v_Archery_g47_c01,9,41,female
v_Archery_g48_c01,6,44,female
v_Archery_g49_c01,47,3,male
v_Archery_g50_c01.,50,0,male
v_Archery_g51_c01,37,13,male
v_Archery_g52_c01.,39,11,male
v_Archery_g53_c01,46,4,male
v_Archery_g54_c01,4,46,female
v_Archery_g55_c01,11,39,female
v_Archery_g56_c01,48,2,male
v_Archery_g57_c01,48,2,male
v_Archery_g58_c01,44,6,male
v_Archery_g59_c01,45,5,male
v_Archery_g60_c01,24,26,female
v_Archery_g61_c01.,50,0,male
v_BabyCrawling_g01_c01.,30,20,male
v_BabyCrawling_g02_c01,36,14,male
v_BabyCrawling_g03_c01,24,26,female
v_BabyCrawling_g04_c01,37,13,male
v_BabyCrawling_g05_c01,2,48,female
v_BabyCrawling_g06_c01,38,12,male
v_BabyCrawling_g07_c01,34,16,male
v_BabyCrawling_g08_c01,5,45,female
v_BabyCrawling_g09_c01,37,13,male
v_BabyCrawling_g10_c01.,7,43,female
v_BabyCrawling_g11_c01.,40,10,male
v_BabyCrawling_g12_c01.,7,43,female
v_BabyCrawling_g13_c01,26,24,male
v_BabyCrawling_g14_c01,32,18,male
v_BabyCrawling_g15_c01,47,3,male
v_BabyCrawling_g16_c01,28,22,male
v_BabyCrawling_g17_c01,30,20,male
v_BabyCrawling_g18_c01,2,48,female
v_BabyCrawling_g19_c01,3,47,female
v_BabyCrawling_g20_c01,2,48,female
v_BabyCrawling_g21_c01,1,49,female
v_BabyCrawling_g22_c01,12,38,female
v_BabyCrawling_g23_c01,33,17,male
v_BabyCrawling_g24_c01,44,6,male
v_BabyCrawling_g25_c01,48,2,male
v_BabyCrawling_g26_c01,50,0,male
v_BabyCrawling_g27_c01.,50,0,male
v_BabyCrawling_g28_c01,33,17,male
v_BabyCrawling_g29_c01.,1,49,female
v_BabyCrawling_g30_c01,35,15,male
v_BabyCrawling_g31_c01,38,12,male
v_BabyCrawling_g32_c01,41,9,male
v_BabyCrawling_g33_c01,36,14,male
v_BabyCrawling_g34_c01.,0,50,female
v_BabyCrawling_g35_c01,44,6,male
v_BabyCrawling_g36_c01,21,29,female
v_BabyCrawling_g37_c01,42,8,male
v_BabyCrawling_g38_c01,44,6,male
v_BabyCrawling_g39_c01,43,7,male
v_BabyCrawling_g40_c01,42,8,male
v_BabyCrawling_g41_c01,14,36,female
v_BabyCrawling_g42_c01,39,11,male
v_BabyCrawling_g43_c01,31,19,male
v_BabyCrawling_g44_c01,37,13,male
v_BabyCrawling_g45_c01,48,2,male
v_BalanceBeam_g01_c01,32,18,male
v_BalanceBeam_g02_c01,11,39,female
v_BalanceBeam_g03_c01,21,29,female
v_BalanceBeam_g04_c01,19,31,female
v_BalanceBeam_g05_c01,40,10,male
v_BalanceBeam_g06_c01,4,46,female
v_BalanceBeam_g07_c01.,48,2,male
v_BalanceBeam_g08_c01,21,29,female
v_BalanceBeam_g09_c01,15,35,female
v_BalanceBeam_g10_c01,27,23,male
v_BalanceBeam_g11_c01.,0,50,female
v_BalanceBeam_g12_c01,1,49,female
v_BalanceBeam_g13_c01,4,46,female
v_BalanceBeam_g14_c01,14,36,female
v_BalanceBeam_g15_c01.,28,21,male
v_BalanceBeam_g16_c01,10,40,female
v_BalanceBeam_g17_c01,35,15,male
v_BalanceBeam_g18_c01,0,50,female
v_BalanceBeam_g19_c01,48,2,male
v_BalanceBeam_g20_c01,32,18,male
v_BalanceBeam_g21_c01,22,28,female
v_BalanceBeam_g22_c01,10,40,female
v_BalanceBeam_g23_c01,34,16,male
v_BalanceBeam_g24_c01,40,10,male
v_BalanceBeam_g25_c01,47,3,male
v_BalanceBeam_g26_c01,26,23,male
v_BalanceBeam_g27_c01,26,24,male
v_BalanceBeam_g28_c01,2,48,female
v_BalanceBeam_g29_c01,21,29,female
v_BalanceBeam_g30_c01,50,0,male
v_BalanceBeam_g31_c01.,15,35,female
v_BalanceBeam_g32_c01,45,5,male
v_BalanceBeam_g33_c01,0,50,female
v_BalanceBeam_g34_c01.,5,45,female
v_BalanceBeam_g35_c01,23,27,female
v_BalanceBeam_g36_c01,43,7,male
v_BalanceBeam_g37_c01.,37,13,male
v_BalanceBeam_g38_c01,5,45,female
v_BalanceBeam_g39_c01,26,24,male
v_BalanceBeam_g40_c01,10,40,female
v_BalanceBeam_g41_c01,31,19,male
v_BalanceBeam_g42_c01,0,50,female
v_BalanceBeam_g43_c01,21,29,female
v_BalanceBeam_g44_c01,4,46,female
v_BalanceBeam_g45_c01.,7,43,female
v_BalanceBeam_g46_c01,6,44,female
v_BalanceBeam_g47_c01,22,28,female
v_BalanceBeam_g48_c01,32,18,male
v_BalanceBeam_g49_c01,39,11,male
v_BalanceBeam_g50_c01,44,6,male
v_BalanceBeam_g51_c01,29,21,male
v_BalanceBeam_g52_c01.,26,24,male
v_BalanceBeam_g53_c01,26,24,male
v_BalanceBeam_g54_c01,48,2,male
v_BalanceBeam_g55_c01,22,28,female
v_BalanceBeam_g56_c01,2,48,female
v_BalanceBeam_g57_c01,13,37,female
v_BalanceBeam_g58_c01,5,45,female
v_BalanceBeam_g59_c01,8,42,female
v_BalanceBeam_g60_c01,24,26,female
v_BalanceBeam_g61_c01,32,18,male
v_BalanceBeam_g62_c01,3,47,female
v_BalanceBeam_g63_c01,15,35,female
v_BalanceBeam_g64_c01,12,38,female
v_BalanceBeam_g65_c01,1,49,female
v_BalanceBeam_g66_c01,8,42,female
