video_name,count_white,count_asian,count_black,count_middle_eastern,count_indian,count_hispanic,count_unknown,final
v_ApplyEyeMakeup_g01_c01,2,0,0,10,38,0,0,indian
v_ApplyEyeMakeup_g02_c01,24,0,0,1,0,22,3,white
v_ApplyEyeMakeup_g03_c01,14,6,1,28,0,1,0,middle eastern
v_ApplyEyeMakeup_g04_c01,3,31,4,0,0,0,12,asian
v_ApplyEyeMakeup_g05_c01,0,0,0,0,0,50,0,hispanic
v_ApplyEyeMakeup_g06_c01,18,7,4,7,3,9,2,white
v_ApplyEyeMakeup_g07_c01,3,45,0,0,0,1,1,asian
v_ApplyEyeMakeup_g08_c01,10,9,12,3,1,8,7,black
v_ApplyEyeMakeup_g09_c01.,46,0,0,0,0,4,0,white
v_ApplyEyeMakeup_g10_c01,2,36,1,3,0,0,8,asian
v_ApplyEyeMakeup_g11_c01,15,5,2,0,0,10,18,white
v_ApplyEyeMakeup_g12_c01,9,35,2,2,1,1,0,asian
v_ApplyEyeMakeup_g13_c01,11,9,4,26,0,0,0,middle eastern
v_ApplyEyeMakeup_g14_c01,29,0,0,2,0,19,0,white
v_ApplyEyeMakeup_g15_c01,1,0,46,0,0,3,0,black
v_ApplyEyeMakeup_g16_c01,0,0,48,0,2,0,0,black
v_ApplyEyeMakeup_g17_c01,24,13,11,0,0,0,2,white
v_ApplyEyeMakeup_g18_c01,0,9,11,6,6,18,0,hispanic
v_ApplyEyeMakeup_g19_c01.,0,3,46,0,0,1,0,black
v_ApplyEyeMakeup_g20_c01,0,2,8,37,0,2,1,middle eastern
v_ApplyEyeMakeup_g21_c01,1,1,46,1,0,1,0,black
v_ApplyEyeMakeup_g22_c01,1,2,45,0,1,1,0,black
v_ApplyEyeMakeup_g23_c01,5,12,0,24,0,7,2,middle eastern
v_ApplyEyeMakeup_g24_c01,3,2,3,0,0,12,30,unknown
v_ApplyEyeMakeup_g25_c01.,43,0,0,1,0,5,1,white
v_ApplyEyeMakeup_g26_c01,0,2,38,0,10,0,0,black
v_ApplyEyeMakeup_g27_c01,25,1,0,10,0,14,0,white
v_ApplyEyeMakeup_g28_c01,16,8,2,4,1,16,3,white
v_ApplyEyeMakeup_g29_c01.,39,2,1,1,0,1,6,white
v_ApplyEyeMakeup_g30_c01,44,1,1,3,0,1,0,white
v_ApplyEyeMakeup_g31_c01.,3,0,33,1,2,10,1,black
v_ApplyEyeMakeup_g32_c01,5,25,1,15,0,2,2,asian
v_ApplyEyeMakeup_g33_c01,1,0,49,0,0,0,0,black
v_ApplyEyeMakeup_g34_c01,46,1,0,0,0,3,0,white
v_ApplyEyeMakeup_g35_c01.,6,24,0,1,0,19,0,asian
v_ApplyEyeMakeup_g36_c01,15,0,17,0,0,14,4,black
v_ApplyEyeMakeup_g37_c01,0,1,49,0,0,0,0,black
v_ApplyEyeMakeup_g38_c01,11,0,2,36,0,1,0,middle eastern
v_ApplyEyeMakeup_g39_c01,10,2,0,21,0,10,7,middle eastern
v_ApplyEyeMakeup_g40_c01,13,4,19,9,1,4,0,black
v_ApplyEyeMakeup_g41_c01,3,1,1,16,4,22,3,hispanic
v_ApplyLipstick_g01_c01,19,0,4,6,0,21,0,hispanic
v_ApplyLipstick_g02_c01.,0,3,0,31,16,0,0,middle eastern
v_ApplyLipstick_g03_c01,2,45,2,0,0,1,0,asian
v_ApplyLipstick_g04_c01,48,0,0,0,0,2,0,white
v_ApplyLipstick_g05_c01,39,0,2,0,0,4,5,white
v_ApplyLipstick_g06_c01.,10,0,0,0,0,40,0,hispanic
v_ApplyLipstick_g07_c01,35,0,0,2,0,13,0,white
v_ApplyLipstick_g08_c01,46,0,0,3,0,0,1,white
v_ApplyLipstick_g09_c01.,4,0,2,33,0,11,0,middle eastern
v_ApplyLipstick_g10_c01,0,48,0,1,0,0,1,asian
v_ApplyLipstick_g11_c01,11,0,0,3,0,14,22,hispanic
v_ApplyLipstick_g12_c01,16,3,0,0,0,21,10,hispanic
v_ApplyLipstick_g13_c01,50,0,0,0,0,0,0,white
v_ApplyLipstick_g14_c01,0,49,0,0,0,0,1,asian
v_ApplyLipstick_g15_c01,4,42,0,0,0,0,4,asian
v_ApplyLipstick_g16_c01,5,4,2,0,30,7,2,indian
v_ApplyLipstick_g17_c01,0,10,0,29,8,3,0,middle eastern
v_ApplyLipstick_g18_c01,5,8,0,21,5,11,0,middle eastern
v_ApplyLipstick_g19_c01,3,0,46,1,0,0,0,black
v_ApplyLipstick_g20_c01,1,5,0,39,2,3,0,middle eastern
v_ApplyLipstick_g21_c01,1,0,0,28,1,20,0,middle eastern
v_ApplyLipstick_g22_c01,11,9,4,26,0,0,0,middle eastern
v_ApplyLipstick_g23_c01,0,25,0,0,1,24,0,asian
v_ApplyLipstick_g24_c01.,3,0,2,0,0,0,45,unknown
v_ApplyLipstick_g25_c01.,1,25,21,0,0,2,1,asian
v_ApplyLipstick_g26_c01.,26,10,7,3,0,3,1,white
v_ApplyLipstick_g27_c01,50,0,0,0,0,0,0,white
v_ApplyLipstick_g28_c01,39,0,4,1,0,6,0,white
v_ApplyLipstick_g29_c01,2,23,0,0,0,18,7,asian
v_ApplyLipstick_g30_c01,0,0,0,0,47,3,0,indian
v_ApplyLipstick_g31_c01.,23,11,2,0,0,11,3,white
v_ApplyLipstick_g32_c01.,1,7,11,2,28,1,0,indian
v_ApplyLipstick_g33_c01.,3,0,33,1,2,10,1,black
v_ApplyLipstick_g34_c01.,16,1,0,22,0,11,0,middle eastern
v_ApplyLipstick_g35_c01,25,5,2,2,0,4,12,white
v_ApplyLipstick_g36_c01,0,44,2,3,0,0,1,asian
v_ApplyLipstick_g37_c01,30,2,2,5,0,6,5,white
v_ApplyLipstick_g38_c01,0,0,50,0,0,0,0,black
v_ApplyLipstick_g39_c01,2,0,0,34,2,12,0,middle eastern
v_ApplyLipstick_g40_c01.,2,1,46,1,0,0,0,black
v_ApplyLipstick_g41_c01,1,0,49,0,0,0,0,black
v_ApplyLipstick_g42_c01,0,19,0,0,18,12,1,asian
v_ApplyLipstick_g43_c01,0,6,0,0,28,12,4,indian
v_ApplyLipstick_g44_c01,3,1,0,30,0,16,0,middle eastern
v_ApplyLipstick_g45_c01,50,0,0,0,0,0,0,white
v_ApplyLipstick_g46_c01.,0,3,2,2,38,4,1,indian
v_ApplyLipstick_g47_c01,0,4,2,2,29,5,8,indian
v_ApplyLipstick_g48_c01,9,1,0,5,20,15,0,indian
v_ApplyLipstick_g49_c01,0,0,0,1,46,3,0,indian
v_ApplyLipstick_g50_c01,4,9,25,1,5,6,0,black
v_Archery_g01_c01.,6,11,2,5,2,5,19,asian
v_Archery_g02_c01,27,0,1,0,0,15,7,white
v_Archery_g03_c01,4,0,5,13,4,6,18,middle eastern
v_Archery_g04_c01.,4,2,2,0,0,5,37,unknown
v_Archery_g05_c01,9,4,1,1,0,34,1,hispanic
v_Archery_g06_c01,6,17,9,1,0,4,13,asian
v_Archery_g07_c01,1,16,1,23,1,8,0,middle eastern
v_Archery_g08_c01.,0,5,2,2,2,39,0,hispanic
v_Archery_g09_c01,26,14,1,4,0,0,5,white
v_Archery_g10_c01,1,10,3,5,19,1,11,indian
v_Archery_g11_c01,0,3,41,0,0,4,2,black
v_Archery_g12_c01,2,33,5,1,1,4,4,asian
v_Archery_g13_c01,19,10,7,0,0,8,6,white
