video_name,thin_and_tall_count,thin_and_short_count,wide_and_tall_count,wide_and_short_count,final,category
v_ApplyEyeMakeup_g02_c01,0,0,2,3,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g03_c02,0,0,3,2,wide_and_tall,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c01,0,0,2,3,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c02,0,0,0,5,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c04,0,0,0,5,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c06,1,3,0,1,thin_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g06_c02,0,0,1,4,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g06_c04,0,0,1,4,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c04,2,2,0,1,thin_and_tall,ApplyEyeMakeup
v_ApplyEyeMakeup_g09_c02,3,0,0,2,thin_and_tall,ApplyEyeMakeup
v_ApplyEyeMakeup_g11_c03,2,0,1,2,thin_and_tall,ApplyEyeMakeup
v_ApplyEyeMakeup_g12_c01,0,0,1,4,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g12_c02,2,0,2,1,thin_and_tall,ApplyEyeMakeup
v_ApplyEyeMakeup_g12_c03,2,0,2,1,thin_and_tall,ApplyEyeMakeup
v_ApplyEyeMakeup_g15_c01,0,0,0,5,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g15_c06,0,0,2,3,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g17_c03,0,0,0,5,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g17_c05,0,0,2,3,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g18_c03,0,0,1,4,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g18_c05,0,0,2,3,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g19_c02,0,0,5,0,wide_and_tall,ApplyEyeMakeup
v_ApplyEyeMakeup_g20_c01,0,0,4,1,wide_and_tall,ApplyEyeMakeup
v_ApplyEyeMakeup_g20_c04,2,0,1,2,thin_and_tall,ApplyEyeMakeup
v_ApplyEyeMakeup_g21_c03,0,0,1,4,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g21_c05,0,0,0,5,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g24_c02,0,0,2,3,wide_and_short,ApplyEyeMakeup
v_ApplyEyeMakeup_g25_c07,3,0,0,2,thin_and_tall,ApplyEyeMakeup
v_ApplyLipstick_g03_c04,0,3,0,2,thin_and_short,ApplyLipstick
v_ApplyLipstick_g04_c01,1,0,0,4,wide_and_short,ApplyLipstick
v_ApplyLipstick_g04_c02,2,0,0,3,wide_and_short,ApplyLipstick
v_ApplyLipstick_g04_c05,2,1,0,2,thin_and_tall,ApplyLipstick
v_ApplyLipstick_g16_c02,3,2,0,0,thin_and_tall,ApplyLipstick
v_ApplyLipstick_g16_c03,0,5,0,0,thin_and_short,ApplyLipstick
v_ApplyLipstick_g18_c02,0,1,2,2,wide_and_tall,ApplyLipstick
v_ApplyLipstick_g18_c03,0,3,0,2,thin_and_short,ApplyLipstick
v_ApplyLipstick_g20_c05,3,0,0,2,thin_and_tall,ApplyLipstick
v_Archery_g01_c01,0,1,0,4,wide_and_short,Archery
v_Archery_g01_c05,0,0,1,4,wide_and_short,Archery
v_Archery_g01_c07,0,1,0,4,wide_and_short,Archery
v_Archery_g02_c07,0,2,0,3,wide_and_short,Archery
v_Archery_g03_c02,1,1,3,0,wide_and_tall,Archery
v_Archery_g05_c04,3,1,0,1,thin_and_tall,Archery
v_Archery_g05_c05,4,1,0,0,thin_and_tall,Archery
v_Archery_g06_c04,2,0,3,0,wide_and_tall,Archery
v_Archery_g07_c01,2,3,0,0,thin_and_short,Archery
v_Archery_g07_c03,0,2,0,3,wide_and_short,Archery
v_Archery_g11_c02,0,1,3,1,wide_and_tall,Archery
v_Archery_g11_c04,1,0,3,1,wide_and_tall,Archery
v_Archery_g11_c05,0,3,2,0,thin_and_short,Archery
v_Archery_g11_c06,0,0,5,0,wide_and_tall,Archery
v_Archery_g12_c03,2,2,0,1,thin_and_tall,Archery
v_Archery_g13_c01,0,3,0,2,thin_and_short,Archery
v_Archery_g13_c04,0,1,4,0,wide_and_tall,Archery
v_Archery_g13_c05,0,0,5,0,wide_and_tall,Archery
v_Archery_g13_c06,0,3,1,1,thin_and_short,Archery
v_Archery_g16_c05,4,1,0,0,thin_and_tall,Archery
v_Archery_g18_c06,0,2,1,2,thin_and_short,Archery
v_Archery_g21_c01,3,2,0,0,thin_and_tall,Archery
v_Archery_g21_c03,3,2,0,0,thin_and_tall,Archery
v_Archery_g23_c02,0,2,0,3,wide_and_short,Archery
v_Archery_g24_c02,2,0,3,0,wide_and_tall,Archery
v_Archery_g25_c04,0,5,0,0,thin_and_short,Archery
v_Archery_g25_c06,0,1,0,4,wide_and_short,Archery
v_Archery_g25_c07,1,2,2,0,thin_and_short,Archery
v_BabyCrawling_g01_c01,0,0,4,1,wide_and_tall,BabyCrawling
v_BabyCrawling_g01_c03,3,0,0,2,thin_and_tall,BabyCrawling
v_BabyCrawling_g04_c02,1,0,0,4,wide_and_short,BabyCrawling
v_BabyCrawling_g04_c03,4,0,0,1,thin_and_tall,BabyCrawling
v_BabyCrawling_g06_c03,3,0,2,0,thin_and_tall,BabyCrawling
v_BabyCrawling_g09_c01,0,0,1,4,wide_and_short,BabyCrawling
v_BabyCrawling_g09_c04,0,0,1,4,wide_and_short,BabyCrawling
v_BabyCrawling_g09_c06,3,0,1,1,thin_and_tall,BabyCrawling
v_BabyCrawling_g10_c01,1,0,1,3,wide_and_short,BabyCrawling
v_BabyCrawling_g10_c02,0,0,2,3,wide_and_short,BabyCrawling
v_BabyCrawling_g10_c03,0,1,3,1,wide_and_tall,BabyCrawling
v_BabyCrawling_g11_c03,5,0,0,0,thin_and_tall,BabyCrawling
v_BabyCrawling_g11_c04,1,0,3,1,wide_and_tall,BabyCrawling
v_BabyCrawling_g12_c04,5,0,0,0,thin_and_tall,BabyCrawling
v_BabyCrawling_g12_c06,4,0,0,1,thin_and_tall,BabyCrawling
v_BabyCrawling_g14_c04,4,0,1,0,thin_and_tall,BabyCrawling
v_BabyCrawling_g17_c04,1,0,4,0,wide_and_tall,BabyCrawling
v_BabyCrawling_g18_c01,1,0,0,4,wide_and_short,BabyCrawling
v_BabyCrawling_g18_c02,2,0,3,0,wide_and_tall,BabyCrawling
v_BabyCrawling_g18_c03,1,0,3,1,wide_and_tall,BabyCrawling
v_BabyCrawling_g19_c01,0,3,0,2,thin_and_short,BabyCrawling
v_BabyCrawling_g19_c03,0,0,0,5,wide_and_short,BabyCrawling
v_BabyCrawling_g19_c04,0,2,0,3,wide_and_short,BabyCrawling
v_BabyCrawling_g21_c01,0,3,0,2,thin_and_short,BabyCrawling
v_BabyCrawling_g22_c01,1,0,0,4,wide_and_short,BabyCrawling
v_BabyCrawling_g22_c05,1,4,0,0,thin_and_short,BabyCrawling
v_BabyCrawling_g22_c06,0,5,0,0,thin_and_short,BabyCrawling
v_BabyCrawling_g23_c03,3,0,0,2,thin_and_tall,BabyCrawling
v_BabyCrawling_g23_c04,1,3,0,1,thin_and_short,BabyCrawling
v_BabyCrawling_g24_c05,0,0,3,2,wide_and_tall,BabyCrawling
v_BabyCrawling_g24_c06,1,0,3,1,wide_and_tall,BabyCrawling
v_BabyCrawling_g25_c01,0,0,0,5,wide_and_short,BabyCrawling
v_BabyCrawling_g25_c05,1,0,0,4,wide_and_short,BabyCrawling
v_BalanceBeam_g12_c03,0,4,0,1,thin_and_short,BalanceBeam
v_BalanceBeam_g17_c02,0,1,0,4,wide_and_short,BalanceBeam
v_BalanceBeam_g17_c05,0,0,0,5,wide_and_short,BalanceBeam
v_BalanceBeam_g17_c06,0,0,0,5,wide_and_short,BalanceBeam
v_BandMarching_g01_c04,0,1,0,4,wide_and_short,BandMarching
v_BandMarching_g01_c05,0,2,0,3,wide_and_short,BandMarching
v_BandMarching_g01_c07,0,2,0,3,wide_and_short,BandMarching
v_BandMarching_g03_c07,0,2,0,3,wide_and_short,BandMarching
v_BandMarching_g04_c01,0,1,0,4,wide_and_short,BandMarching
v_BandMarching_g05_c07,0,3,0,2,thin_and_short,BandMarching
v_BandMarching_g06_c02,0,1,0,4,wide_and_short,BandMarching
v_BandMarching_g07_c01,0,1,0,4,wide_and_short,BandMarching
v_BandMarching_g07_c02,5,0,0,0,thin_and_tall,BandMarching
v_BandMarching_g07_c06,3,2,0,0,thin_and_tall,BandMarching
v_BandMarching_g07_c07,2,2,0,1,thin_and_tall,BandMarching
v_BandMarching_g08_c04,0,3,0,2,thin_and_short,BandMarching
v_BandMarching_g08_c05,0,3,0,2,thin_and_short,BandMarching
v_BandMarching_g08_c06,0,4,0,1,thin_and_short,BandMarching
v_BandMarching_g09_c03,0,5,0,0,thin_and_short,BandMarching
v_BandMarching_g09_c05,0,3,0,2,thin_and_short,BandMarching
v_BandMarching_g09_c07,0,3,0,2,thin_and_short,BandMarching
v_BandMarching_g10_c07,0,1,0,4,wide_and_short,BandMarching
v_BandMarching_g11_c04,0,4,0,1,thin_and_short,BandMarching
v_BandMarching_g11_c05,0,3,0,2,thin_and_short,BandMarching
v_BandMarching_g11_c07,0,3,0,2,thin_and_short,BandMarching
v_BandMarching_g12_c01,0,2,0,3,wide_and_short,BandMarching
v_BandMarching_g12_c06,0,1,0,4,wide_and_short,BandMarching
v_BandMarching_g13_c05,0,0,0,5,wide_and_short,BandMarching
v_BandMarching_g14_c01,0,1,0,4,wide_and_short,BandMarching
v_BandMarching_g16_c02,0,0,0,5,wide_and_short,BandMarching
v_BandMarching_g16_c07,0,2,0,3,wide_and_short,BandMarching
v_BandMarching_g17_c03,2,1,0,2,thin_and_tall,BandMarching
v_BandMarching_g18_c01,0,0,0,5,wide_and_short,BandMarching
v_BandMarching_g19_c01,0,0,0,5,wide_and_short,BandMarching
v_BandMarching_g19_c02,0,2,0,3,wide_and_short,BandMarching
v_BandMarching_g19_c03,0,2,0,3,wide_and_short,BandMarching
v_BandMarching_g22_c03,1,1,0,3,wide_and_short,BandMarching
v_BandMarching_g22_c05,0,2,0,3,wide_and_short,BandMarching
v_BandMarching_g23_c04,0,3,0,2,thin_and_short,BandMarching
v_BandMarching_g24_c01,0,2,0,3,wide_and_short,BandMarching
v_BandMarching_g25_c02,0,2,2,1,thin_and_short,BandMarching
v_BaseballPitch_g01_c03,0,1,2,2,wide_and_tall,BaseballPitch
v_BaseballPitch_g01_c05,0,0,5,0,wide_and_tall,BaseballPitch
v_BaseballPitch_g01_c06,0,1,1,3,wide_and_short,BaseballPitch
v_BaseballPitch_g10_c01,0,1,0,4,wide_and_short,BaseballPitch
v_BaseballPitch_g10_c02,2,1,0,2,thin_and_tall,BaseballPitch
v_BaseballPitch_g10_c03,1,1,0,3,wide_and_short,BaseballPitch
v_BaseballPitch_g14_c02,1,0,1,3,wide_and_short,BaseballPitch
v_BaseballPitch_g15_c03,0,3,0,2,thin_and_short,BaseballPitch
v_BaseballPitch_g15_c04,0,4,0,1,thin_and_short,BaseballPitch
v_BaseballPitch_g15_c06,0,4,0,1,thin_and_short,BaseballPitch
v_BaseballPitch_g20_c02,1,2,0,2,thin_and_short,BaseballPitch
v_BaseballPitch_g20_c04,0,0,0,5,wide_and_short,BaseballPitch
v_BaseballPitch_g23_c01,3,0,2,0,thin_and_tall,BaseballPitch
v_BaseballPitch_g23_c05,2,0,2,1,thin_and_tall,BaseballPitch
v_BasketballDunk_g04_c03,0,0,0,5,wide_and_short,BasketballDunk
v_BasketballDunk_g04_c04,0,0,0,5,wide_and_short,BasketballDunk
v_BasketballDunk_g05_c01,0,1,0,4,wide_and_short,BasketballDunk
v_BasketballDunk_g05_c03,0,1,0,4,wide_and_short,BasketballDunk
v_BasketballDunk_g07_c02,0,4,0,1,thin_and_short,BasketballDunk
v_BasketballDunk_g07_c04,0,5,0,0,thin_and_short,BasketballDunk
v_BasketballDunk_g08_c02,0,5,0,0,thin_and_short,BasketballDunk
v_BasketballDunk_g09_c03,0,2,0,3,wide_and_short,BasketballDunk
v_BasketballDunk_g09_c04,0,0,0,5,wide_and_short,BasketballDunk
v_BasketballDunk_g12_c02,0,5,0,0,thin_and_short,BasketballDunk
v_BasketballDunk_g12_c03,0,5,0,0,thin_and_short,BasketballDunk
v_BasketballDunk_g13_c01,0,0,0,5,wide_and_short,BasketballDunk
v_BasketballDunk_g14_c01,0,5,0,0,thin_and_short,BasketballDunk
v_BasketballDunk_g14_c05,0,5,0,0,thin_and_short,BasketballDunk
v_BasketballDunk_g14_c07,0,5,0,0,thin_and_short,BasketballDunk
v_BasketballDunk_g15_c05,0,4,0,1,thin_and_short,BasketballDunk
v_BasketballDunk_g15_c06,1,2,0,2,thin_and_short,BasketballDunk
v_BasketballDunk_g16_c03,0,5,0,0,thin_and_short,BasketballDunk
v_BasketballDunk_g18_c06,0,3,0,2,thin_and_short,BasketballDunk
v_BasketballDunk_g19_c02,0,3,0,2,thin_and_short,BasketballDunk
v_BasketballDunk_g25_c04,0,5,0,0,thin_and_short,BasketballDunk
v_Basketball_g02_c03,2,1,0,2,thin_and_tall,Basketball
v_Basketball_g07_c02,1,2,0,2,thin_and_short,Basketball
v_Basketball_g12_c02,1,0,0,4,wide_and_short,Basketball
v_Basketball_g12_c04,2,0,1,2,thin_and_tall,Basketball
v_Basketball_g15_c01,1,2,0,2,thin_and_short,Basketball
v_Basketball_g15_c02,1,2,0,2,thin_and_short,Basketball
v_Basketball_g15_c04,0,4,0,1,thin_and_short,Basketball
v_Basketball_g17_c02,3,0,0,2,thin_and_tall,Basketball
v_Basketball_g23_c03,0,3,0,2,thin_and_short,Basketball
v_Basketball_g24_c01,0,5,0,0,thin_and_short,Basketball
v_Basketball_g25_c02,0,3,0,2,thin_and_short,Basketball
v_BenchPress_g01_c01,0,0,0,5,wide_and_short,BenchPress
v_BenchPress_g01_c02,0,2,0,3,wide_and_short,BenchPress
v_BenchPress_g01_c05,0,1,0,4,wide_and_short,BenchPress
v_BenchPress_g03_c01,1,0,1,3,wide_and_short,BenchPress
v_BenchPress_g03_c04,1,2,0,2,thin_and_short,BenchPress
v_BenchPress_g03_c05,1,2,0,2,thin_and_short,BenchPress
v_BenchPress_g03_c07,0,1,0,4,wide_and_short,BenchPress
v_BenchPress_g05_c03,0,2,0,3,wide_and_short,BenchPress
v_BenchPress_g05_c07,0,2,0,3,wide_and_short,BenchPress
v_BenchPress_g08_c02,2,1,0,2,thin_and_tall,BenchPress
v_BenchPress_g08_c05,0,1,0,4,wide_and_short,BenchPress
v_BenchPress_g08_c06,2,1,0,2,thin_and_tall,BenchPress
v_BenchPress_g08_c07,3,1,0,1,thin_and_tall,BenchPress
v_BenchPress_g09_c06,2,2,0,1,thin_and_tall,BenchPress
v_BenchPress_g09_c07,0,4,0,1,thin_and_short,BenchPress
v_BenchPress_g11_c03,1,4,0,0,thin_and_short,BenchPress
v_BenchPress_g12_c05,0,3,0,2,thin_and_short,BenchPress
v_BenchPress_g13_c05,3,2,0,0,thin_and_tall,BenchPress
v_BenchPress_g13_c06,5,0,0,0,thin_and_tall,BenchPress
v_BenchPress_g14_c03,2,2,0,1,thin_and_tall,BenchPress
v_BenchPress_g14_c04,5,0,0,0,thin_and_tall,BenchPress
v_BenchPress_g14_c06,4,1,0,0,thin_and_tall,BenchPress
v_BenchPress_g15_c05,0,0,5,0,wide_and_tall,BenchPress
v_BenchPress_g15_c06,0,0,4,1,wide_and_tall,BenchPress
v_BenchPress_g16_c05,0,3,0,2,thin_and_short,BenchPress
v_BenchPress_g17_c04,5,0,0,0,thin_and_tall,BenchPress
v_BenchPress_g17_c05,2,1,0,2,thin_and_tall,BenchPress
v_BenchPress_g17_c07,3,0,0,2,thin_and_tall,BenchPress
v_BenchPress_g18_c01,0,3,0,2,thin_and_short,BenchPress
v_BenchPress_g18_c07,0,3,0,2,thin_and_short,BenchPress
v_BenchPress_g20_c03,4,1,0,0,thin_and_tall,BenchPress
v_BenchPress_g20_c07,2,2,0,1,thin_and_tall,BenchPress
v_BenchPress_g21_c03,1,2,0,2,thin_and_short,BenchPress
v_BenchPress_g25_c04,3,2,0,0,thin_and_tall,BenchPress
v_Biking_g04_c01,0,3,0,2,thin_and_short,Biking
v_Biking_g05_c01,1,0,3,1,wide_and_tall,Biking
v_Biking_g08_c01,0,3,0,2,thin_and_short,Biking
v_Biking_g08_c02,0,0,3,2,wide_and_tall,Biking
v_Biking_g13_c04,0,0,3,2,wide_and_tall,Biking
v_Biking_g20_c03,1,2,0,2,thin_and_short,Biking
v_Billiards_g02_c01,0,5,0,0,thin_and_short,Billiards
v_Billiards_g02_c03,0,3,0,2,thin_and_short,Billiards
v_Billiards_g02_c06,0,5,0,0,thin_and_short,Billiards
v_Billiards_g03_c04,0,3,0,2,thin_and_short,Billiards
v_Billiards_g03_c05,0,3,0,2,thin_and_short,Billiards
v_Billiards_g04_c01,0,0,0,5,wide_and_short,Billiards
v_Billiards_g04_c07,0,1,0,4,wide_and_short,Billiards
v_Billiards_g05_c05,0,0,0,5,wide_and_short,Billiards
v_Billiards_g07_c04,0,0,0,5,wide_and_short,Billiards
v_Billiards_g08_c01,0,2,0,3,wide_and_short,Billiards
v_Billiards_g08_c04,0,1,0,4,wide_and_short,Billiards
v_Billiards_g10_c02,0,5,0,0,thin_and_short,Billiards
v_Billiards_g11_c02,0,3,0,2,thin_and_short,Billiards
v_Billiards_g11_c06,0,5,0,0,thin_and_short,Billiards
v_Billiards_g14_c03,0,3,0,2,thin_and_short,Billiards
