video_name,male_count,female_count,final,category
v_ApplyEyeMakeup_g12_c01,3,2,male,ApplyEyeMakeup
v_ApplyEyeMakeup_g12_c04,4,1,male,ApplyEyeMakeup
v_ApplyEyeMakeup_g12_c05,3,2,male,ApplyEyeMakeup
v_ApplyEyeMakeup_g22_c01,5,0,male,ApplyEyeMakeup
v_Archery_g05_c04,5,0,male,Archery
v_Archery_g05_c05,3,2,male,Archery
v_Archery_g07_c01,2,3,female,Archery
v_Archery_g10_c01,0,5,female,Archery
v_Archery_g10_c02,1,4,female,Archery
v_Archery_g10_c03,1,4,female,Archery
v_Archery_g16_c01,2,3,female,Archery
v_Archery_g16_c04,1,4,female,Archery
v_BabyCrawling_g03_c03,3,2,male,BabyCrawling
v_BabyCrawling_g03_c04,4,1,male,BabyCrawling
v_BabyCrawling_g05_c04,1,4,female,BabyCrawling
v_BabyCrawling_g06_c02,5,0,male,BabyCrawling
v_BabyCrawling_g06_c04,5,0,male,BabyCrawling
v_BabyCrawling_g07_c05,4,1,male,BabyCrawling
v_BabyCrawling_g09_c04,2,3,female,BabyCrawling
v_BabyCrawling_g10_c02,2,3,female,BabyCrawling
v_BabyCrawling_g11_c01,2,3,female,BabyCrawling
v_BabyCrawling_g15_c03,5,0,male,BabyCrawling
v_BabyCrawling_g15_c04,3,2,male,BabyCrawling
v_BabyCrawling_g15_c05,5,0,male,BabyCrawling
v_BabyCrawling_g18_c03,1,4,female,BabyCrawling
v_BabyCrawling_g18_c06,2,3,female,BabyCrawling
v_BabyCrawling_g20_c07,0,5,female,BabyCrawling
v_BabyCrawling_g22_c06,2,3,female,BabyCrawling
v_BabyCrawling_g23_c01,3,2,male,BabyCrawling
v_BalanceBeam_g01_c01,5,0,male,BalanceBeam
v_BalanceBeam_g01_c04,4,1,male,BalanceBeam
v_BalanceBeam_g02_c03,0,5,female,BalanceBeam
v_BalanceBeam_g04_c04,5,0,male,BalanceBeam
v_BalanceBeam_g05_c01,3,2,male,BalanceBeam
v_BalanceBeam_g06_c04,1,4,female,BalanceBeam
v_BalanceBeam_g06_c06,2,3,female,BalanceBeam
v_BalanceBeam_g07_c01,4,1,male,BalanceBeam
v_BalanceBeam_g08_c02,3,2,male,BalanceBeam
v_BalanceBeam_g09_c01,3,2,male,BalanceBeam
v_BalanceBeam_g09_c02,3,2,male,BalanceBeam
v_BalanceBeam_g10_c04,4,1,male,BalanceBeam
v_BalanceBeam_g11_c03,5,0,male,BalanceBeam
v_BalanceBeam_g12_c03,2,3,female,BalanceBeam
v_BalanceBeam_g14_c01,5,0,male,BalanceBeam
v_BalanceBeam_g14_c04,3,2,male,BalanceBeam
v_BalanceBeam_g15_c04,3,2,male,BalanceBeam
v_BalanceBeam_g19_c04,3,2,male,BalanceBeam
v_BalanceBeam_g20_c02,1,4,female,BalanceBeam
v_BalanceBeam_g21_c02,0,5,female,BalanceBeam
v_BalanceBeam_g21_c04,2,3,female,BalanceBeam
v_BalanceBeam_g22_c03,5,0,male,BalanceBeam
v_BalanceBeam_g23_c05,1,4,female,BalanceBeam
v_BalanceBeam_g25_c04,3,2,male,BalanceBeam
v_BandMarching_g01_c01,3,2,male,BandMarching
v_BandMarching_g02_c07,1,4,female,BandMarching
v_BandMarching_g03_c02,3,2,male,BandMarching
v_BandMarching_g03_c03,4,1,male,BandMarching
v_BandMarching_g03_c06,3,2,male,BandMarching
v_BandMarching_g04_c02,3,2,male,BandMarching
v_BandMarching_g04_c03,4,1,male,BandMarching
v_BandMarching_g05_c01,4,1,male,BandMarching
v_BandMarching_g07_c02,3,2,male,BandMarching
v_BandMarching_g07_c06,4,1,male,BandMarching
v_BandMarching_g07_c07,4,1,male,BandMarching
v_BandMarching_g08_c05,4,1,male,BandMarching
v_BandMarching_g08_c06,3,2,male,BandMarching
v_BandMarching_g09_c01,0,5,female,BandMarching
v_BandMarching_g09_c02,2,3,female,BandMarching
v_BandMarching_g09_c03,2,3,female,BandMarching
v_BandMarching_g10_c03,3,2,male,BandMarching
v_BandMarching_g10_c05,3,2,male,BandMarching
v_BandMarching_g10_c07,3,2,male,BandMarching
v_BandMarching_g11_c04,4,1,male,BandMarching
v_BandMarching_g11_c06,4,1,male,BandMarching
v_BandMarching_g11_c07,3,2,male,BandMarching
v_BandMarching_g12_c01,3,2,male,BandMarching
v_BandMarching_g13_c01,4,1,male,BandMarching
v_BandMarching_g15_c01,5,0,male,BandMarching
v_BandMarching_g15_c04,5,0,male,BandMarching
v_BandMarching_g16_c07,3,2,male,BandMarching
v_BandMarching_g17_c02,1,4,female,BandMarching
v_BandMarching_g18_c03,3,2,male,BandMarching
v_BandMarching_g19_c01,3,2,male,BandMarching
v_BandMarching_g19_c05,4,1,male,BandMarching
v_BandMarching_g20_c01,3,2,male,BandMarching
v_BandMarching_g20_c02,3,2,male,BandMarching
v_BandMarching_g21_c04,4,1,male,BandMarching
v_BandMarching_g21_c05,3,2,male,BandMarching
v_BandMarching_g21_c06,3,2,male,BandMarching
v_BandMarching_g23_c05,3,2,male,BandMarching
v_BandMarching_g25_c02,5,0,male,BandMarching
v_BandMarching_g25_c03,4,1,male,BandMarching
v_BandMarching_g25_c04,5,0,male,BandMarching
v_BaseballPitch_g01_c03,2,3,female,BaseballPitch
v_BaseballPitch_g10_c01,2,3,female,BaseballPitch
v_BaseballPitch_g13_c02,0,5,female,BaseballPitch
v_BasketballDunk_g01_c05,2,3,female,BasketballDunk
v_BasketballDunk_g01_c06,2,3,female,BasketballDunk
v_BasketballDunk_g03_c01,5,0,male,BasketballDunk
v_BasketballDunk_g03_c02,4,1,male,BasketballDunk
v_BasketballDunk_g03_c05,5,0,male,BasketballDunk
v_BasketballDunk_g08_c01,2,3,female,BasketballDunk
v_BasketballDunk_g11_c01,2,3,female,BasketballDunk
v_BasketballDunk_g19_c04,1,4,female,BasketballDunk
v_BasketballDunk_g21_c02,1,4,female,BasketballDunk
v_Basketball_g01_c07,1,4,female,Basketball
v_Basketball_g03_c06,1,4,female,Basketball
v_Basketball_g06_c01,5,0,male,Basketball
v_Basketball_g06_c04,4,1,male,Basketball
v_Basketball_g08_c03,1,4,female,Basketball
v_Basketball_g13_c04,3,2,male,Basketball
v_Basketball_g15_c02,1,4,female,Basketball
v_Basketball_g16_c01,4,1,male,Basketball
v_Basketball_g16_c02,4,1,male,Basketball
v_Basketball_g16_c05,3,2,male,Basketball
v_Basketball_g17_c01,2,3,female,Basketball
v_Basketball_g18_c05,2,3,female,Basketball
v_Basketball_g20_c02,1,4,female,Basketball
v_Basketball_g20_c04,1,4,female,Basketball
v_Basketball_g21_c01,3,2,male,Basketball
v_Basketball_g21_c04,3,2,male,Basketball
v_Basketball_g23_c05,1,4,female,Basketball
v_Basketball_g23_c06,2,3,female,Basketball
v_Basketball_g24_c02,4,1,male,Basketball
v_Basketball_g25_c02,4,1,male,Basketball
v_Basketball_g25_c07,4,1,male,Basketball
v_BenchPress_g03_c01,3,2,male,BenchPress
v_BenchPress_g03_c02,4,1,male,BenchPress
v_BenchPress_g03_c03,4,1,male,BenchPress
v_BenchPress_g06_c03,2,3,female,BenchPress
v_BenchPress_g06_c07,1,4,female,BenchPress
v_BenchPress_g12_c01,2,3,female,BenchPress
v_BenchPress_g12_c02,0,5,female,BenchPress
v_BenchPress_g13_c02,4,1,male,BenchPress
v_BenchPress_g13_c05,4,1,male,BenchPress
v_BenchPress_g13_c06,4,1,male,BenchPress
v_BenchPress_g14_c07,1,4,female,BenchPress
v_BenchPress_g17_c01,2,3,female,BenchPress
v_BenchPress_g17_c02,2,3,female,BenchPress
v_BenchPress_g17_c06,0,5,female,BenchPress
v_BenchPress_g18_c02,2,3,female,BenchPress
v_BenchPress_g20_c01,2,3,female,BenchPress
v_BenchPress_g20_c05,1,4,female,BenchPress
v_BenchPress_g20_c06,1,4,female,BenchPress
v_BenchPress_g25_c03,3,2,male,BenchPress
v_BenchPress_g25_c06,4,1,male,BenchPress
v_BenchPress_g25_c07,3,2,male,BenchPress
v_Biking_g01_c02,4,1,male,Biking
v_Biking_g02_c06,2,3,female,Biking
v_Biking_g04_c02,3,2,male,Biking
v_Biking_g04_c05,3,2,male,Biking
v_Biking_g08_c05,2,3,female,Biking
v_Biking_g09_c03,5,0,male,Biking
v_Biking_g09_c04,4,1,male,Biking
v_Biking_g13_c01,1,4,female,Biking
v_Biking_g17_c02,0,5,female,Biking
