video_name,count_white,count_asian,count_black,count_middle_eastern,count_indian,count_hispanic,final,category
v_ApplyEyeMakeup_g04_c02,0,1,4,0,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c06,0,1,0,0,0,4,hispanic,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c07,0,1,0,0,0,4,hispanic,ApplyEyeMakeup
v_ApplyEyeMakeup_g05_c05,0,0,0,4,0,1,middle_eastern,ApplyEyeMakeup
v_ApplyEyeMakeup_g05_c07,0,0,0,4,0,1,middle_eastern,ApplyEyeMakeup
v_ApplyEyeMakeup_g07_c01,0,0,0,0,3,2,indian,ApplyEyeMakeup
v_ApplyEyeMakeup_g07_c06,0,0,0,0,3,2,indian,ApplyEyeMakeup
v_ApplyEyeMakeup_g09_c01,1,0,0,1,0,3,hispanic,ApplyEyeMakeup
v_ApplyEyeMakeup_g09_c05,2,0,0,0,0,3,hispanic,ApplyEyeMakeup
v_ApplyEyeMakeup_g13_c02,4,0,0,0,0,1,white,ApplyEyeMakeup
v_ApplyEyeMakeup_g13_c05,1,4,0,0,0,0,asian,ApplyEyeMakeup
v_ApplyEyeMakeup_g13_c06,5,0,0,0,0,0,white,ApplyEyeMakeup
v_ApplyEyeMakeup_g14_c01,2,0,0,0,0,3,hispanic,ApplyEyeMakeup
v_ApplyEyeMakeup_g15_c05,0,0,0,3,1,1,middle_eastern,ApplyEyeMakeup
v_ApplyEyeMakeup_g15_c06,0,0,0,0,5,0,indian,ApplyEyeMakeup
v_ApplyEyeMakeup_g15_c07,0,0,0,3,2,0,middle_eastern,ApplyEyeMakeup
v_ApplyEyeMakeup_g16_c05,2,0,0,0,0,3,hispanic,ApplyEyeMakeup
v_ApplyEyeMakeup_g17_c01,0,0,0,3,0,2,middle_eastern,ApplyEyeMakeup
v_ApplyEyeMakeup_g21_c03,0,2,0,2,0,1,asian,ApplyEyeMakeup
v_ApplyEyeMakeup_g22_c01,4,0,0,0,0,1,white,ApplyEyeMakeup
v_ApplyEyeMakeup_g22_c03,0,0,0,4,0,1,middle_eastern,ApplyEyeMakeup
v_ApplyEyeMakeup_g23_c01,4,0,0,0,0,1,white,ApplyEyeMakeup
v_ApplyEyeMakeup_g23_c02,5,0,0,0,0,0,white,ApplyEyeMakeup
v_ApplyEyeMakeup_g23_c05,5,0,0,0,0,0,white,ApplyEyeMakeup
v_ApplyLipstick_g02_c03,0,0,0,5,0,0,middle_eastern,ApplyLipstick
v_ApplyLipstick_g15_c01,0,0,0,2,0,3,hispanic,ApplyLipstick
v_ApplyLipstick_g18_c01,0,5,0,0,0,0,asian,ApplyLipstick
v_ApplyLipstick_g20_c04,0,0,3,0,1,1,black,ApplyLipstick
v_ApplyLipstick_g20_c05,0,0,3,0,0,2,black,ApplyLipstick
v_ApplyLipstick_g21_c05,2,0,0,0,0,3,hispanic,ApplyLipstick
v_Archery_g03_c01,5,0,0,0,0,0,white,Archery
v_Archery_g03_c02,5,0,0,0,0,0,white,Archery
v_Archery_g04_c01,2,0,0,0,0,3,hispanic,Archery
v_Archery_g04_c02,2,0,0,0,0,3,hispanic,Archery
