video_name,kid_count,young_count,old_count,final,category
v_ApplyEyeMakeup_g12_c01,3,2,0,kid,ApplyEyeMakeup
v_ApplyEyeMakeup_g12_c04,3,2,0,kid,ApplyEyeMakeup
v_ApplyEyeMakeup_g24_c07,0,0,5,old,ApplyEyeMakeup
v_ApplyLipstick_g03_c04,3,2,0,kid,ApplyLipstick
v_Archery_g03_c02,0,5,0,young,Archery
v_Archery_g03_c03,0,3,2,young,Archery
v_Archery_g06_c02,0,4,1,young,Archery
v_Archery_g06_c04,0,0,5,old,Archery
v_Archery_g06_c05,1,1,3,old,Archery
v_Archery_g06_c06,1,4,0,young,Archery
v_Archery_g07_c02,1,2,2,uncertain,Archery
v_Archery_g07_c06,1,0,4,old,Archery
v_Archery_g08_c03,1,4,0,young,Archery
v_Archery_g08_c05,1,4,0,young,Archery
v_Archery_g09_c01,4,1,0,kid,Archery
v_Archery_g09_c04,5,0,0,kid,Archery
v_Archery_g09_c05,3,2,0,kid,Archery
v_Archery_g12_c04,0,2,3,old,Archery
v_Archery_g13_c06,0,5,0,young,Archery
v_Archery_g15_c02,0,2,3,old,Archery
v_Archery_g15_c04,0,1,4,old,Archery
v_Archery_g17_c04,4,0,1,kid,Archery
v_Archery_g18_c04,0,2,3,old,Archery
v_Archery_g20_c05,1,0,4,old,Archery
v_Archery_g22_c03,3,2,0,kid,Archery
v_Archery_g22_c04,1,3,1,young,Archery
v_Archery_g22_c05,0,2,3,old,Archery
v_Archery_g23_c01,1,0,4,old,Archery
v_Archery_g23_c02,1,0,4,old,Archery
v_Archery_g23_c04,2,2,1,uncertain,Archery
v_Archery_g23_c05,2,2,1,uncertain,Archery
v_Archery_g23_c06,0,3,2,young,Archery
v_BabyCrawling_g06_c03,2,3,0,young,BabyCrawling
v_BabyCrawling_g18_c05,3,2,0,kid,BabyCrawling
v_BabyCrawling_g20_c04,1,0,4,old,BabyCrawling
v_BabyCrawling_g23_c04,1,1,3,old,BabyCrawling
v_BabyCrawling_g25_c06,2,3,0,young,BabyCrawling
v_BalanceBeam_g01_c01,0,5,0,young,BalanceBeam
v_BalanceBeam_g01_c02,2,3,0,young,BalanceBeam
v_BalanceBeam_g02_c03,2,2,1,uncertain,BalanceBeam
v_BalanceBeam_g03_c01,1,4,0,young,BalanceBeam
v_BalanceBeam_g07_c01,2,2,1,uncertain,BalanceBeam
v_BalanceBeam_g07_c02,4,1,0,kid,BalanceBeam
v_BalanceBeam_g09_c04,2,3,0,young,BalanceBeam
v_BalanceBeam_g10_c03,1,4,0,young,BalanceBeam
v_BalanceBeam_g11_c03,1,0,4,old,BalanceBeam
v_BalanceBeam_g11_c04,0,5,0,young,BalanceBeam
v_BalanceBeam_g13_c01,2,3,0,young,BalanceBeam
v_BalanceBeam_g13_c03,2,2,1,uncertain,BalanceBeam
v_BalanceBeam_g14_c03,2,3,0,young,BalanceBeam
v_BalanceBeam_g16_c03,1,4,0,young,BalanceBeam
v_BalanceBeam_g17_c06,2,3,0,young,BalanceBeam
v_BalanceBeam_g18_c01,2,3,0,young,BalanceBeam
v_BalanceBeam_g19_c01,2,3,0,young,BalanceBeam
v_BalanceBeam_g20_c02,2,3,0,young,BalanceBeam
v_BalanceBeam_g21_c05,0,5,0,young,BalanceBeam
v_BalanceBeam_g22_c01,0,5,0,young,BalanceBeam
v_BalanceBeam_g22_c03,1,4,0,young,BalanceBeam
v_BalanceBeam_g24_c04,2,3,0,young,BalanceBeam
v_BalanceBeam_g25_c04,2,3,0,young,BalanceBeam
v_BandMarching_g01_c01,0,5,0,young,BandMarching
v_BandMarching_g01_c02,1,4,0,young,BandMarching
v_BandMarching_g01_c04,2,3,0,young,BandMarching
v_BandMarching_g02_c06,3,1,1,kid,BandMarching
v_BandMarching_g03_c01,5,0,0,kid,BandMarching
v_BandMarching_g03_c03,3,2,0,kid,BandMarching
v_BandMarching_g03_c06,0,2,3,old,BandMarching
v_BandMarching_g04_c01,2,1,2,uncertain,BandMarching
v_BandMarching_g04_c04,5,0,0,kid,BandMarching
v_BandMarching_g05_c01,2,3,0,young,BandMarching
v_BandMarching_g07_c01,5,0,0,kid,BandMarching
v_BandMarching_g08_c04,2,3,0,young,BandMarching
v_BandMarching_g08_c06,1,3,1,young,BandMarching
v_BandMarching_g08_c07,2,3,0,young,BandMarching
v_BandMarching_g09_c05,2,3,0,young,BandMarching
v_BandMarching_g09_c07,1,4,0,young,BandMarching
v_BandMarching_g10_c02,1,4,0,young,BandMarching
v_BandMarching_g10_c03,2,3,0,young,BandMarching
v_BandMarching_g10_c07,2,1,2,uncertain,BandMarching
v_BandMarching_g11_c01,1,3,1,young,BandMarching
v_BandMarching_g11_c05,2,2,1,uncertain,BandMarching
v_BandMarching_g11_c06,1,4,0,young,BandMarching
v_BandMarching_g14_c05,1,4,0,young,BandMarching
v_BandMarching_g15_c01,1,1,3,old,BandMarching
