video_name,thin_count,wide_count,final,category
v_ApplyEyeMakeup_g03_c02,2,3,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g03_c03,2,3,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g03_c04,2,3,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c01,0,5,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c02,0,5,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c03,0,5,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g06_c02,3,2,thin,ApplyEyeMakeup
v_ApplyEyeMakeup_g07_c04,3,2,thin,ApplyEyeMakeup
v_ApplyEyeMakeup_g07_c07,4,1,thin,ApplyEyeMakeup
v_ApplyEyeMakeup_g09_c05,0,5,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g09_c06,0,5,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g10_c02,4,1,thin,ApplyEyeMakeup
v_ApplyEyeMakeup_g10_c03,3,2,thin,ApplyEyeMakeup
v_ApplyEyeMakeup_g11_c03,0,5,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g11_c04,2,3,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g13_c03,1,4,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g13_c05,0,5,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g13_c06,0,5,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g15_c05,3,2,thin,ApplyEyeMakeup
v_ApplyEyeMakeup_g17_c03,5,0,thin,ApplyEyeMakeup
v_ApplyEyeMakeup_g17_c05,4,1,thin,ApplyEyeMakeup
v_ApplyEyeMakeup_g19_c01,5,0,thin,ApplyEyeMakeup
v_ApplyEyeMakeup_g20_c01,0,5,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g23_c02,1,4,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g23_c03,0,5,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g24_c05,1,4,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g24_c06,2,3,wide,ApplyEyeMakeup
v_ApplyEyeMakeup_g24_c07,2,3,wide,ApplyEyeMakeup
v_ApplyLipstick_g01_c01,5,0,thin,ApplyLipstick
v_ApplyLipstick_g01_c05,4,1,thin,ApplyLipstick
v_ApplyLipstick_g02_c01,4,1,thin,ApplyLipstick
v_ApplyLipstick_g04_c01,2,3,wide,ApplyLipstick
v_ApplyLipstick_g04_c02,2,3,wide,ApplyLipstick
v_ApplyLipstick_g10_c01,0,5,wide,ApplyLipstick
v_ApplyLipstick_g10_c03,1,4,wide,ApplyLipstick
v_ApplyLipstick_g11_c04,3,2,thin,ApplyLipstick
v_ApplyLipstick_g12_c04,0,5,wide,ApplyLipstick
v_ApplyLipstick_g12_c05,2,3,wide,ApplyLipstick
v_ApplyLipstick_g14_c03,3,2,thin,ApplyLipstick
v_ApplyLipstick_g15_c02,2,3,wide,ApplyLipstick
v_ApplyLipstick_g15_c03,1,4,wide,ApplyLipstick
v_ApplyLipstick_g19_c04,0,5,wide,ApplyLipstick
v_ApplyLipstick_g20_c02,1,4,wide,ApplyLipstick
v_ApplyLipstick_g22_c02,2,3,wide,ApplyLipstick
v_ApplyLipstick_g23_c04,3,2,thin,ApplyLipstick
v_ApplyLipstick_g25_c04,3,2,thin,ApplyLipstick
v_Archery_g01_c02,0,5,wide,Archery
v_Archery_g01_c03,2,3,wide,Archery
v_Archery_g06_c02,2,3,wide,Archery
v_Archery_g07_c03,2,3,wide,Archery
v_Archery_g10_c01,0,5,wide,Archery
v_Archery_g10_c03,2,3,wide,Archery
v_Archery_g10_c06,2,3,wide,Archery
v_Archery_g11_c01,3,2,thin,Archery
v_Archery_g11_c03,4,1,thin,Archery
v_Archery_g11_c07,5,0,thin,Archery
v_Archery_g13_c02,1,4,wide,Archery
v_Archery_g14_c03,1,4,wide,Archery
v_Archery_g15_c01,1,4,wide,Archery
v_Archery_g15_c05,2,3,wide,Archery
v_Archery_g18_c01,1,4,wide,Archery
v_Archery_g18_c03,2,3,wide,Archery
v_Archery_g20_c03,5,0,thin,Archery
v_Archery_g20_c05,5,0,thin,Archery
v_Archery_g20_c07,5,0,thin,Archery
v_BabyCrawling_g05_c04,3,2,thin,BabyCrawling
v_BabyCrawling_g08_c02,4,1,thin,BabyCrawling
v_BabyCrawling_g18_c04,5,0,thin,BabyCrawling
v_BabyCrawling_g18_c05,3,2,thin,BabyCrawling
v_BabyCrawling_g21_c03,3,2,thin,BabyCrawling
v_BabyCrawling_g22_c01,1,4,wide,BabyCrawling
v_BabyCrawling_g22_c02,2,3,wide,BabyCrawling
v_BabyCrawling_g22_c04,1,4,wide,BabyCrawling
v_BabyCrawling_g23_c04,3,2,thin,BabyCrawling
v_BandMarching_g03_c01,0,5,wide,BandMarching
v_BandMarching_g04_c03,2,3,wide,BandMarching
v_BandMarching_g05_c01,4,1,thin,BandMarching
v_BandMarching_g05_c07,3,2,thin,BandMarching
v_BandMarching_g06_c02,0,5,wide,BandMarching
v_BandMarching_g07_c01,2,3,wide,BandMarching
v_BandMarching_g07_c02,2,3,wide,BandMarching
v_BandMarching_g09_c03,3,2,thin,BandMarching
v_BandMarching_g10_c04,3,2,thin,BandMarching
v_BandMarching_g11_c02,3,2,thin,BandMarching
v_BandMarching_g11_c03,3,2,thin,BandMarching
v_BandMarching_g12_c05,2,3,wide,BandMarching
v_BandMarching_g12_c06,2,3,wide,BandMarching
v_BandMarching_g14_c01,2,3,wide,BandMarching
v_BandMarching_g16_c01,0,5,wide,BandMarching
v_BandMarching_g16_c05,2,3,wide,BandMarching
v_BandMarching_g16_c06,2,3,wide,BandMarching
v_BandMarching_g18_c01,1,4,wide,BandMarching
v_BandMarching_g18_c02,2,3,wide,BandMarching
v_BandMarching_g18_c04,2,3,wide,BandMarching
v_BandMarching_g19_c03,3,2,thin,BandMarching
v_BandMarching_g19_c05,3,2,thin,BandMarching
v_BandMarching_g20_c04,2,3,wide,BandMarching
v_BandMarching_g20_c05,1,4,wide,BandMarching
v_BandMarching_g20_c06,1,4,wide,BandMarching
v_BandMarching_g21_c04,0,5,wide,BandMarching
v_BandMarching_g25_c07,4,1,thin,BandMarching
v_BaseballPitch_g01_c03,1,4,wide,BaseballPitch
v_BaseballPitch_g01_c05,0,5,wide,BaseballPitch
v_BaseballPitch_g01_c06,1,4,wide,BaseballPitch
v_BaseballPitch_g07_c04,3,2,thin,BaseballPitch
v_BaseballPitch_g08_c03,3,2,thin,BaseballPitch
v_BaseballPitch_g09_c01,1,4,wide,BaseballPitch
v_BaseballPitch_g09_c06,1,4,wide,BaseballPitch
v_BaseballPitch_g15_c04,5,0,thin,BaseballPitch
v_BaseballPitch_g23_c01,3,2,thin,BaseballPitch
v_BaseballPitch_g23_c07,3,2,thin,BaseballPitch
v_BaseballPitch_g24_c02,2,3,wide,BaseballPitch
v_BasketballDunk_g07_c03,4,1,thin,BasketballDunk
v_BasketballDunk_g07_c06,4,1,thin,BasketballDunk
v_BasketballDunk_g09_c04,3,2,thin,BasketballDunk
v_BasketballDunk_g12_c02,3,2,thin,BasketballDunk
v_BasketballDunk_g15_c06,4,1,thin,BasketballDunk
v_BasketballDunk_g23_c02,3,2,thin,BasketballDunk
v_Basketball_g09_c02,2,3,wide,Basketball
v_Basketball_g09_c03,1,4,wide,Basketball
v_Basketball_g17_c02,5,0,thin,Basketball
v_BenchPress_g01_c01,3,2,thin,BenchPress
v_BenchPress_g01_c02,3,2,thin,BenchPress
