video_name,black_count,blonde_count,red_count,white_count,final,category
v_ApplyEyeMakeup_g08_c02,3,1,1,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c04,0,4,1,0,blonde,ApplyEyeMakeup
v_ApplyEyeMakeup_g12_c02,1,0,4,0,red,ApplyEyeMakeup
v_ApplyEyeMakeup_g12_c04,0,0,5,0,red,ApplyEyeMakeup
v_ApplyEyeMakeup_g12_c05,0,0,5,0,red,ApplyEyeMakeup
v_ApplyEyeMakeup_g14_c01,3,2,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g14_c05,5,0,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g16_c01,2,3,0,0,blonde,ApplyEyeMakeup
v_ApplyEyeMakeup_g16_c05,4,0,1,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g23_c03,0,0,5,0,red,ApplyEyeMakeup
v_ApplyEyeMakeup_g23_c04,0,4,1,0,blonde,ApplyEyeMakeup
v_ApplyEyeMakeup_g23_c05,0,2,3,0,red,ApplyEyeMakeup
v_ApplyEyeMakeup_g23_c06,0,5,0,0,blonde,ApplyEyeMakeup
v_ApplyLipstick_g12_c02,3,0,2,0,black,ApplyLipstick
v_ApplyLipstick_g13_c02,0,2,3,0,red,ApplyLipstick
v_ApplyLipstick_g13_c04,0,2,3,0,red,ApplyLipstick
v_ApplyLipstick_g24_c04,0,2,3,0,red,ApplyLipstick
v_Archery_g02_c07,2,3,0,0,blonde,Archery
v_Archery_g03_c01,0,0,0,5,white,Archery
v_Archery_g03_c02,1,1,1,2,white,Archery
v_Archery_g05_c04,0,0,1,4,white,Archery
v_Archery_g05_c05,0,0,1,4,white,Archery
v_Archery_g06_c02,0,0,2,3,white,Archery
v_Archery_g06_c04,5,0,0,0,black,Archery
v_Archery_g06_c05,5,0,0,0,black,Archery
v_Archery_g08_c03,2,1,2,0,black,Archery
v_Archery_g08_c05,4,0,1,0,black,Archery
v_Archery_g11_c03,1,1,1,2,white,Archery
v_Archery_g11_c04,0,0,2,3,white,Archery
v_Archery_g11_c05,0,2,3,0,red,Archery
v_Archery_g11_c06,0,2,3,0,red,Archery
v_Archery_g13_c02,0,2,2,1,blonde,Archery
v_Archery_g13_c06,0,5,0,0,blonde,Archery
v_Archery_g15_c01,1,0,4,0,red,Archery
v_Archery_g15_c04,0,0,1,4,white,Archery
v_Archery_g15_c05,2,0,0,3,white,Archery
v_Archery_g18_c01,1,0,0,4,white,Archery
v_Archery_g18_c04,0,0,4,1,red,Archery
v_Archery_g18_c05,0,0,3,2,red,Archery
v_Archery_g18_c06,0,0,3,2,red,Archery
v_Archery_g20_c03,3,0,2,0,black,Archery
v_Archery_g21_c02,4,0,0,1,black,Archery
v_Archery_g22_c02,2,0,0,3,white,Archery
v_Archery_g22_c04,2,0,0,3,white,Archery
v_Archery_g25_c02,0,0,1,4,white,Archery
v_Archery_g25_c03,0,0,2,3,white,Archery
v_Archery_g25_c05,0,0,2,3,white,Archery
v_BabyCrawling_g02_c01,0,1,4,0,red,BabyCrawling
v_BabyCrawling_g02_c04,2,1,2,0,black,BabyCrawling
v_BabyCrawling_g02_c06,0,0,5,0,red,BabyCrawling
v_BabyCrawling_g03_c03,0,2,3,0,red,BabyCrawling
v_BabyCrawling_g07_c04,0,3,2,0,blonde,BabyCrawling
v_BabyCrawling_g09_c01,0,0,5,0,red,BabyCrawling
v_BabyCrawling_g09_c02,0,2,3,0,red,BabyCrawling
v_BabyCrawling_g09_c03,0,1,4,0,red,BabyCrawling
v_BabyCrawling_g10_c02,2,1,2,0,black,BabyCrawling
v_BabyCrawling_g10_c03,0,5,0,0,blonde,BabyCrawling
v_BabyCrawling_g12_c05,0,2,3,0,red,BabyCrawling
v_BabyCrawling_g16_c02,3,1,0,1,black,BabyCrawling
v_BabyCrawling_g16_c03,0,1,4,0,red,BabyCrawling
v_BabyCrawling_g17_c04,0,2,3,0,red,BabyCrawling
v_BabyCrawling_g17_c05,0,2,3,0,red,BabyCrawling
v_BabyCrawling_g19_c02,0,0,5,0,red,BabyCrawling
v_BabyCrawling_g19_c03,0,2,3,0,red,BabyCrawling
v_BabyCrawling_g20_c03,0,2,3,0,red,BabyCrawling
v_BabyCrawling_g21_c01,0,0,5,0,red,BabyCrawling
v_BabyCrawling_g21_c02,0,0,5,0,red,BabyCrawling
v_BabyCrawling_g22_c01,2,0,3,0,red,BabyCrawling
v_BabyCrawling_g22_c06,1,0,4,0,red,BabyCrawling
v_BabyCrawling_g22_c07,2,0,3,0,red,BabyCrawling
v_BabyCrawling_g23_c02,0,0,4,1,red,BabyCrawling
v_BabyCrawling_g25_c01,0,2,3,0,red,BabyCrawling
v_BalanceBeam_g01_c01,0,0,5,0,red,BalanceBeam
v_BalanceBeam_g01_c03,4,1,0,0,black,BalanceBeam
v_BalanceBeam_g02_c02,3,2,0,0,black,BalanceBeam
v_BalanceBeam_g02_c03,0,5,0,0,blonde,BalanceBeam
v_BalanceBeam_g03_c02,0,0,5,0,red,BalanceBeam
