step,avg_chi
1,1746.5679836474708
2,1745.5973531361858
3,1740.480181366199
4,1738.3294433009542
5,1733.2465416183768
6,1732.8275957138558
7,1727.7802764192438
8,1726.485901176856
9,1721.4724611073568
10,1716.5810805453284
11,1715.7996730659452
12,1715.3960917411835
13,1710.450142150615
14,1710.0545076156134
15,1705.1430010038118
16,1704.755274660555
17,1702.993676382842
18,1698.1180325451269
19,1693.2745144642165
20,1688.4628802797554
21,1683.6828906977353
22,1678.934308956256
23,1677.1931100888958
24,1675.4638979764104
25,1670.7497419582135
26,1666.0665017754427
27,1664.3524484676366
28,1659.701490985818
29,1658.0008954979855
30,1655.9244306653118
31,1654.246556629608
32,1652.5803750495454
33,1647.9653409048642
34,1646.3737597976954
35,1643.9603780292266
36,1639.373930146765
37,1637.740911564619
38,1636.119363210654
39,1635.7617489742336
40,1635.4101849982933
41,1633.8021083897354
42,1633.512197304846
43,1633.1723535877193
44,1631.6308740221957
45,1631.29669847965
46,1629.7661376995095
47,1626.4266277301838
48,1626.0975656388503
49,1624.533077410645
50,1624.2109825392374
51,1623.2669335086441
52,1618.7270720465629
53,1618.4123199222915
54,1616.8622541705838
55,1615.3710285705522
56,1615.062858343011
57,1614.760579724274
58,1614.464174271737
59,1612.4044270765826
60,1612.163234634967
61,1610.6360574360633
62,1609.1198482275788
63,1607.214906499384
64,1605.7633549473146
65,1601.2650153366083
66,1599.3808113861148
67,1599.102608123448
68,1598.8725121456453
69,1598.6481528526172
70,1598.4295124807304
71,1598.216573358394
72,1597.961876557356
73,1593.497317341739
74,1593.2946587396953
75,1588.8592102192906
76,1587.3880411124599
77,1587.1474606966021
78,1586.954655807837
79,1586.724087016192
80,1586.4991594623662
81,1586.2798560074843
82,1581.4766924804087
83,1581.263699661454
84,1581.0562962792808
85,1579.6386973963251
86,1579.4365137033099
87,1579.2398855059173
88,1579.0487961003437
89,1574.6848488601656
90,1574.5007642599332
91,1570.1664473745689
92,1569.0818939356043
93,1568.9070839583553
94,1568.7666586112766
95,1568.6014733749882
96,1567.5316375216273
97,1567.374142296656
98,1567.2220597660034
99,1567.075373958033
100,1565.6618181061233
101,1565.5201575173935
102,1564.9716890305765
103,1563.568475927479
104,1562.149522093733
105,1560.765974756021
106,1554.6684090624847
107,1554.5368510004034
108,1554.4106252216172
109,1554.289716154821
110,1554.1964346952634
111,1554.1084172236513
112,1554.0256484451465
113,1553.948113140019
114,1553.8757961631507
115,1553.7800098437292
116,1553.6894397305807
117,1553.6040708385124
118,1553.5238882551964
119,1553.448877140694
120,1553.3790227269872
121,1552.3522223983562
122,1552.2895221487825
123,1550.895306578305
124,1549.5298078311816
125,1548.1549665713912
126,1548.1172050843268
127,1543.880326270617
128,1542.536288150374
129,1541.18030648497
130,1539.834494561538
131,1538.081983005962
132,1538.0314210250656
133,1536.7059508519371
134,1530.6660487505578
135,1529.350436339794
136,1528.044813903877
137,1528.0019717575558
138,1526.70719636584
139,1522.5132720265428
140,1517.9246052623732
141,1514.823487681789
142,1513.5594318074193
143,1509.4178712879645
144,1509.3833855793239
145,1505.2695588462584
146,1504.0067991496544
147,1499.9204063118111
148,1498.668650305913
149,1498.6436645058627
150,1497.4025117731005
151,1496.1710370016644
152,1494.9497030132309
153,1493.7361986001367
154,1492.5327531978583
155,1492.516416391885
156,1488.4622278605439
157,1487.537157135499
158,1485.3060129932403
159,1480.2454247114754
160,1478.029897315142
161,1473.0010000592167
162,1472.9799683930025
163,1467.9771825598862
164,1465.778661875874
165,1463.5919606825548
166,1461.417031077064
167,1461.3928249989247
168,1460.2250232824779
169,1459.0660065025386
170,1456.9131534319051
171,1455.7688270155784
172,1455.7475761235964
173,1451.358100272622
174,1450.223753261258
175,1446.2799271319473
176,1445.1538858202123
177,1445.1386472834802
178,1441.2215849213674
179,1440.1041696916734
180,1438.9958142843425
181,1435.1037125769644
182,1431.234324775555
183,1431.2262915142535
184,1427.3812029662258
185,1426.1273868229339
186,1424.0022912522818
187,1422.9103030870465
188,1419.0890566962037
189,1416.2125133154598
190,1416.208428973939
191,1412.4078088477145
192,1407.6044485531118
193,1406.5288868468413
194,1405.462197218568
195,1404.404343474929
196,1403.3552896527333
197,1403.3497685008715
198,1399.594282979993
199,1398.553459653028
200,1397.521364082945
201,1397.529143140675
202,1396.506583002197
203,1392.7740767291161
204,1391.7600264165183
205,1391.763890507541
206,1390.758061051516
207,1387.0497255235114
208,1383.364506979604
209,1382.3590102045184
210,1380.574156979045
211,1379.5833239414544
212,1375.9217251803768
