step,avg_chi
0,1748.3563315185295
1,1741.5099699265904
2,1734.7007263892658
3,1728.9719312038087
4,1723.2788577708461
5,1717.6212405513772
6,1711.9988168234067
7,1706.4113266440074
8,1700.858512812
9,1695.3401208312353
10,1689.855898874466
11,1684.4055977478063
12,1678.9889708557557
13,1673.6057741667837
14,1668.2557661794665
15,1663.1856813906234
16,1658.1453874988165
17,1653.134659398267
18,1648.1532743442574
19,1643.2010119220686
20,1638.2776540164075
21,1633.3829847813206
22,1628.5167906105742
23,1623.6788601084975
24,1618.8689840612853
25,1614.0869554087433
26,1609.33256921647
27,1604.9653108823993
28,1600.62615683282
29,1596.3149070782977
30,1592.0313636512776
31,1587.7753305803355
32,1583.5466138648223
33,1579.3450214498937
34,1575.1703632019216
35,1571.0224508842766
36,1566.9010981334768
37,1562.8061204356975
38,1558.7373351036333
39,1554.6945612537063
40,1550.6776197836189
41,1546.6863333502395
42,1542.7205263478165
43,1538.7800248865187
44,1534.8646567712924
45,1530.9742514810303
46,1527.1086401480488
47,1523.2676555378682
48,1519.451132029286
49,1515.6589055947472
50,1511.8908137809958
51,1508.1466956900115
52,1504.4263919602242
53,1500.7297447479966
54,1497.0565977093804
55,1493.4067959821307
56,1489.7801861679811
57,1486.1766163151758
58,1482.5959359012468
59,1479.03799581604
60,1475.5026483449874
61,1471.9897471526072
62,1468.499147266248
63,1465.0297781228564
64,1461.561007795082
65,1458.106321534781
66,1454.6592263279508
67,1451.2191473757957
68,1447.7935744385584
69,1444.3680278387649
70,1440.9572883247336
71,1437.552737294476
72,1434.1563884087584
73,1430.7730522645334
74,1427.39102076636
75,1424.0235968186269
76,1420.6609646374102
77,1417.3077195042213
78,1413.966001353164
79,1410.6268634582366
80,1407.3059143104592
81,1404.0059715154493
82,1400.7269036018595
83,1397.4685802863708
84,1394.2308724601196
85,1391.0136521753122
86,1387.816792632025
87,1384.6401681651823
88,1381.4836542317116
89,1378.347127397874
90,1375.23046532677
91,1372.1335467660053
92,1369.0562515355334
93,1365.9984605156558
94,1362.9600556351843
95,1359.9409198597637
96,1356.9409371803501
97,1353.959992601842
98,1350.9979721318623
99,1348.0547627696935
100,1345.130252495355
101,1342.2243302588256
102,1339.3368859694126
103,1336.4678104852535
104,1333.6169956029632
105,1330.7843340474121
106,1327.9741494414968
107,1325.1819019702928
108,1322.407487093121
109,1319.6508011579624
110,1316.9117413918887
111,1314.1902058916146
112,1311.4860936141706
113,1308.7993043677
114,1306.1297388023693
115,1303.4772984013991
116,1300.8418854722077
117,1298.22340313767
118,1295.6217553274844
119,1293.0368467696526
120,1290.4685829820676
121,1287.9168702642053
122,1285.381615688924
123,1282.9040233752175
124,1280.4400756927103
125,1277.9897114736848
126,1275.552869964865
127,1273.1294908237594
128,1270.7195141150457
129,1268.3228803069971
130,1265.9395302679413
131,1263.5694052627614
132,1261.2124469494338
133,1258.868597375602
134,1256.5377989751871
135,1254.2199945650354
136,1251.9151273416016
137,1249.6231408776641
138,1247.3439791190801
139,1245.0775863815702
140,1242.8239073475397
141,1240.5828870629343
142,1238.3544709341238
143,1236.138604724824
144,1233.9352345530485
145,1231.7443068880918
146,1229.7063933977831
147,1227.6773011264556
148,1225.6570023837705
149,1223.6454696158464
150,1221.822643594464
151,1220.0093411435623
152,1218.2055178441717
153,1216.4111295837845
154,1214.6261325536643
155,1212.8504832461815
156,1211.0841384521814
157,1209.3270552583742
158,1207.5791910447565
159,1205.8405034820598
160,1204.4926292876678
161,1203.1546518762927
162,1201.8265286732606
163,1200.5082173872233
164,1199.1996760077275
165,1197.9008628028141
166,1196.6117363166338
167,1195.3322553670923
168,1194.0623790435238
169,1192.8020667043777
170,1191.5512779749388
171,1190.3086144764718
172,1189.0668735802171
173,1187.8302124366653
174,1186.5974779885557
175,1185.3668019386735
176,1184.1430328473668
177,1182.9286267377397
178,1181.7235445621059
179,1180.527747526067
180,1179.3411970863933
181,1178.163854948921
182,1176.9938952297025
183,1175.8235527803392
184,1174.6594810072804
185,1173.4961042154223
186,1172.3378984674919
187,1171.1806799880276
188,1170.0283182841877
189,1168.8774831364499
190,1167.7309436861194
191,1166.5862013618075
192,1165.445462438466
193,1164.3070383184595
194,1163.1767983390198
195,1162.048237159331
196,1160.9258058008506
197,1159.8031351263623
198,1158.6885767601182
199,1157.5823532362897
200,1156.4841724889845
201,1155.3942572481308
202,1154.3123161421001
203,1153.2385720897519
204,1152.1727344060123
205,1151.115026191988
206,1150.0651574415924
207,1149.023351431637
208,1147.9893188275946
209,1146.9632830755727
210,1145.944955505315
211,1144.93455972595
212,1143.9318077243342
213,1142.9369232664728
214,1141.9496189893102
215,1140.9701188097085
216,1139.998136007803
217,1139.0338946454185
218,1138.077108639107
219,1137.1280021898838
220,1136.1862898440684
221,1135.2521959362077
222,1134.3254356358598
223,1133.406233405566
224,1132.4943050317058
225,1131.589875099388
226,1130.6926600055176
227,1129.8028844524522
228,1128.9202654414337
229,1128.0450277868629
230,1127.1768890882395
231,1126.3160742669043
232,1125.4623015146447
233,1124.6157958547408
234,1123.7762760654023
235,1122.9439672669519
236,1122.1185888182547
237,1121.3003659318774
238,1120.4890185416791
239,1119.684771947764
240,1118.8873466534208
241,1118.0969680416845
242,1117.3133571798016
243,1116.5332581410576
244,1115.7563027411722
245,1114.981242795214
246,1114.2106631000686
247,1113.4406289222022
248,1112.6759473631103
249,1111.911627668134
250,1111.151946379617
251,1110.3939465399396
252,1109.6392523604106
253,1108.887797027279
254,1108.1380769119758
255,1107.3928872187953
256,1106.6481281197218
257,1105.9086611354135
258,1105.1696179256733
259,1104.4333499227848
260,1103.7009289526422
261,1102.9698508513231
262,1102.243879234936
263,1101.5183706104133
264,1100.7993664050625
265,1100.0870929938403
266,1099.381274230411
267,1098.682136540932
268,1097.9894043069382
269,1097.303304001892
270,1096.6235605304519
