step,avg_chi
0,1691.9616984449692
1,1691.587881664289
2,1691.214149292171
3,1690.8599166404604
4,1690.5057724334608
5,1690.3356983254923
6,1689.9816350740468
7,1689.6276603346976
8,1689.2737741353624
9,1688.9199765039782
10,1688.5662674684934
11,1688.2126470568762
12,1687.85911529711
13,1687.836054603249
14,1687.4826356075985
15,1687.4598038803422
16,1687.437177137702
17,1687.4147554820381
18,1687.0415778883914
19,1686.6684849948415
20,1686.2954768276056
21,1685.9423170270954
22,1685.5694263402822
23,1685.3995220020636
24,1685.092716817002
25,1684.7199849203018
26,1684.4133201203392
27,1684.106766516198
28,1683.8003241544532
29,1683.4939930817147
30,1683.187773344628
31,1682.8816649898745
32,1682.5756680641705
33,1682.2224725408726
34,1681.869365917369
35,1681.5163482218165
36,1681.1634194823885
37,1680.8105797272735
38,1680.4578289846786
39,1680.1051672828253
40,1679.752594649952
41,1679.400111114314
42,1679.3780063527847
43,1679.3561071112624
44,1679.3344134925753
45,1679.312925599633
46,1679.2916435354246
47,1678.939371258665
48,1678.9183195995672
49,1678.566161035138
50,1678.5453399296948
51,1678.193295150032
52,1678.1727047469515
53,1677.8207738245817
54,1677.468932254942
55,1677.11718006647
56,1676.9471264504773
57,1676.5754274260032
58,1676.2038137257587
59,1676.0339685211777
60,1675.662485343316
61,1675.3560797368664
62,1675.004479585146
63,1674.6529689428892
64,1674.6327255065898
65,1674.2813291147795
66,1673.9300223039252
67,1673.7602872764692
68,1673.5906705857208
69,1673.4211722703276
70,1673.1322358264688
71,1672.8434192201003
72,1672.554722505157
73,1672.2661457356214
74,1671.977688965516
75,1671.68935224891
76,1671.6691325537288
77,1671.6491195555961
78,1671.3608399128682
79,1671.3410021956734
80,1671.3213713812008
81,1670.9505989568088
82,1670.5993258668939
83,1670.3111076338566
84,1670.2917030392373
85,1670.2725055851913
86,1670.2535153758924
87,1670.234732515596
88,1670.2161571086417
89,1670.1977892594496
90,1670.1796290725224
91,1670.1616766524469
92,1670.1439321038913
93,1670.1263955316072
94,1670.109067040429
95,1670.0919467352735
96,1670.0750347211415
97,1669.7047477071085
98,1669.3345466441424
99,1669.0460950167144
100,1668.676008225734
101,1668.5064519611467
102,1668.3370144487872
103,1668.1676957276159
104,1667.9984958366185
105,1667.6917945623388
106,1667.4034671974548
107,1667.0337069991285
108,1666.8925358340123
109,1666.52288374958
110,1666.1533178502796
111,1665.7838381632512
112,1665.4144447156493
113,1665.045137534644
114,1664.8762900750473
115,1664.507115097508
116,1664.338432620664
117,1664.1975659668587
118,1663.8285453115197
119,1663.6600095337253
120,1663.4915929323513
121,1663.3232955466174
122,1663.147039211677
123,1662.9788660971265
124,1662.610161443209
125,1662.2415433221138
126,1661.8730117611897
127,1661.5045667878019
128,1661.3639919188815
129,1660.9956556544357
130,1660.8553126156396
131,1660.6874528240708
132,1660.547301314562
133,1660.4073598320483
134,1660.1012539081246
135,1659.7952597294604
136,1659.4893773429528
137,1659.183606795533
138,1659.0157865819917
139,1658.6478145384874
140,1658.2799292793288
141,1657.912130832002
142,1657.7725191672605
143,1657.6331178523308
144,1657.4939270330815
145,1657.1884004812553
146,1657.0494382283741
147,1656.9106867677547
148,1656.6053080587105
149,1656.3178366864192
150,1656.0125944549973
151,1655.7252681040236
152,1655.438062387355
153,1655.1509773594669
154,1654.7835812569647
155,1654.416272124997
156,1654.0490499911393
157,1653.6819148829836
158,1653.5143681250886
159,1653.3469411230292
160,1653.0600685213183
161,1652.6931423357062
162,1652.3263032868072
163,1652.1590774763688
164,1651.7923721976251
165,1651.4257541343807
166,1651.059223314358
167,1650.6927797652934
168,1650.3264235149434
169,1650.0398620735214
170,1649.7534215702217
171,1649.3872104606444
172,1649.021086723508
173,1648.6550503866222
174,1648.289101477815
175,1647.9232400249293
176,1647.5574660558261
177,1647.191779598381
178,1647.1748776506176
179,1646.8093054708559
180,1646.4438208740721
181,1646.2773326750212
182,1646.1109647352405
183,1645.9447170946357
184,1645.7785897931353
185,1648.8082644917713
186,1648.5218119733745
187,1648.3832744148046
188,1648.0969601992
189,1647.8107671549315
190,1647.5246953368617
191,1647.2199188926343
192,1647.0537822095255
193,1646.8877660045398
194,1646.721870317713
195,1646.5560951891027
196,1646.3904406587906
197,1646.2166744128951
198,1645.8515352357717
199,1645.5468949472343
200,1645.4086350724465
201,1645.2431252523083
202,1645.0777361471448
203,1644.7732057408614
204,1644.4687878115094
205,1644.3034985205202
206,1644.138330033117
207,1643.9732823895256
208,1643.687407875
209,1643.322735364077
210,1643.0370114389145
211,1642.8721088865284
212,1642.5864948837389
213,1642.30100241778
214,1642.1361977188462
215,1641.8319703898214
216,1641.667276289846
217,1641.5027032381931
218,1641.1384263547077
219,1640.9653119863103
220,1640.8009131341332
221,1640.6366354405855
222,1640.27258822173
223,1640.108479274629
224,1639.9354747188543
225,1639.631461721245
226,1639.4674693558225
227,1639.2945634063487
228,1639.1306980506677
229,1638.9669540557727
230,1638.8033314622178
231,1638.4397340860742
232,1638.1358694041367
233,1637.9724056365922
234,1637.6686434450032
235,1637.505290871936
236,1637.342059853734
237,1637.1789504310648
238,1637.0159626446195
239,1636.730747401132
240,1636.8467850325912
241,1636.483625443304
242,1636.1205545404046
243,1635.835534641178
244,1635.9520601364
245,1635.5891274068047
246,1635.3042735749575
247,1635.000782344602
248,1634.7160757743407
249,1634.5532559103387
250,1634.2018839579098
251,1633.8392124756247
252,1633.5546216429182
253,1633.2033515198225
254,1632.8521726556467
255,1632.689493650656
256,1632.5269365642969
257,1632.1758373325576
258,1631.824829446127
259,1631.662382714195
260,1631.5000580079814
261,1631.137837494867
262,1630.8532552016247
263,1630.549847088724
264,1630.1989064829415
265,1629.8955881707616
266,1629.7333961755955
267,1629.571326337106
268,1629.43329548585
269,1629.0823806572143
270,1628.7979177222344
271,1628.4360966863212
272,1628.2741624497364
273,1628.1123504957723
274,1627.9506608655586
275,1627.7890936002495
276,1627.4858792529158
277,1627.324424229954
278,1627.1630916585812
279,1627.001881580026
280,1626.840794035542
281,1626.6798290664053
282,1626.5189867139186
283,1626.3582670194055
284,1626.3408127784862
285,1626.0376093606556
286,1625.8769887629924
287,1625.5159275363458
288,1625.355478327049
289,1624.9945553443522
290,1624.8565604079656
291,1624.5056947271114
292,1624.345393734601
293,1623.984667763303
294,1623.8245384216127
295,1623.6645320483456
296,1623.3039933681678
297,1623.1441588257105
298,1622.8411272314654
299,1622.5382090124397
300,1622.1778707871244
301,1621.827134764672
302,1621.4764906459711
303,1621.316797061725
304,1621.1572266534592
305,1620.997779462854
306,1620.8384555316127
307,1620.5355945368062
308,1620.376383840213
309,1620.2172964908332
310,1620.0583325304458
311,1619.899492000856
312,1619.882116790606
313,1619.5315256580677
314,1619.1810266152195
315,1619.02228577676
316,1618.6718736000742
317,1618.6547782496211
318,1618.6378941004295
319,1618.3533084009753
320,1618.0688450615246
321,1617.7845041377248
322,1617.4816194623352
323,1617.1788483406851
324,1616.8761908207714
325,1616.5736469506257
326,1616.2712167783193
327,1615.968900351959
328,1615.6666977196885
329,1615.364608929689
330,1615.0626340301799
331,1614.7786490776314
332,1614.4768140999943
333,1614.1750931171443
334,1613.891282746261
335,1613.6075950388501
336,1613.3240300507687
337,1613.0405878379208
338,1612.7572684562565
339,1612.4740719617705
340,1612.1726211683433
341,1611.8712845130347
342,1611.588263069884
343,1611.2374221481143
344,1610.8866734139337
345,1610.5360168978402
346,1610.1854526303498
347,1609.8349806419963
348,1609.484600963334
349,1609.1343136249343
350,1608.7841186573878
351,1608.4256253520064
352,1608.0672227061161
353,1607.7171920743676
354,1607.3672539115844
355,1607.0174082484389
356,1606.6676551156222
357,1606.317994543844
358,1605.9684265638316
359,1605.9514283504134
360,1605.6019806670083
361,1605.2526256534723
362,1604.9510842594743
363,1604.649657070704
364,1604.3664446578005
365,1604.065157876393
366,1603.7820946620238
367,1603.4991545486735
368,1603.2163375925422
369,1602.9336438498758
370,1602.6510733769667
371,1602.3500318242507
372,1602.049104669283
373,1601.7667099423209
374,1601.4844386127
375,1601.2022907368564
376,1600.920266371273
377,1600.6383655724792
378,1600.3565883970507
379,1600.0559331302845
380,1599.7743059012164
381,1599.75696150083
382,1599.739828847086
383,1599.7229080486907
384,1599.365577384048
385,1599.08400613245
386,1598.8113384184853
387,1598.5107856138682
388,1598.2103474081348
389,1597.9100238500102
390,1597.6098149882594
391,1597.3097208716836
392,1597.0097415491218
393,1596.7284493388097
394,1596.447281020448
395,1596.166236650856
396,1595.8853162869011
397,1595.604519985497
398,1595.3238478036044
399,1595.0432997982314
400,1594.7628760264313
401,1594.4825765453072
402,1594.202401412008
403,1593.922350683729
404,1593.642424417715
405,1593.362622671256
406,1593.0829455016901
407,1592.8033929664027
408,1592.44688693361
409,1592.0904722875414
410,1591.8111054120873
411,1591.4610709289161
412,1591.104814429149
413,1590.754908981355
414,1590.405096369289
415,1590.055376623846
416,1589.7057497759408
417,1589.4264145477648
418,1589.1472041315856
419,1588.847793069135
420,1588.5687340672855
421,1588.2898000001878
422,1588.0109909255116
423,1587.7323069009738
424,1587.4331171402712
425,1587.1340425058759
426,1586.8555367634788
427,1586.556603903646
428,1586.200925206167
429,1585.8511604976775
430,1585.7137531944336
431,1585.3582267862548
432,1585.0799283449176
433,1584.8017551686373
434,1584.642497840882
435,1584.3644390977854
436,1584.2052954197359
437,1583.9273511792187
438,1583.7902219678879
439,1583.4915727058244
440,1583.2137996939575
441,1582.936152200234
442,1582.6586302827782
443,1582.3812339997628
444,1582.1039634094093
445,1581.826818569986
446,1581.549799539812
447,1581.6664981532258
448,1581.3896209480802
449,1581.1128696742044
450,1580.9463325033082
451,1580.7798438138682
452,1580.6134036184405
453,1580.4470119295881
454,1580.0923488302435
455,1579.7942992303317
456,1579.5179256733782
457,1579.1634176843263
458,1578.865542720385
459,1578.5677833602113
460,1578.2916206164227
461,1577.9940038283237
462,1577.6965027509204
463,1577.8140248781992
464,1577.5166569975463
465,1577.2407173865004
466,1576.9649040589154
467,1576.6677059270994
468,1576.3706236767619
469,1576.0949906562062
470,1575.7409460837632
471,1575.3869937503923
472,1575.0901191501655
473,1574.8147016644282
474,1574.5394106779142
475,1574.264246249494
476,1573.9675687965637
477,1573.6925580477491
478,1573.396023746456
479,1573.0996055838807
480,1572.824775684527
481,1572.5500725435897
482,1572.2754962201452
483,1572.0010467733198
484,1571.7267242622881
485,1571.4305578428196
486,1571.1563894612111
487,1570.882348141726
488,1570.6084339436895
489,1570.3346469264795
490,1569.9813541617052
491,1569.7077256205396
492,1569.4342243872645
493,1569.1608505214087
494,1568.8650231949443
495,1568.9835136308775
496,1568.8192196886637
497,1568.523575580173
498,1568.228047937347
499,1567.9326368101063
500,1568.051666753243
501,1567.6987837698505
502,1567.4257595356903
503,1567.1528628515805
504,1566.8800937772241
505,1566.6074523723755
506,1566.3349386968396
507,1566.0398312246405
508,1565.7448404250772
509,1565.4499663482081
510,1565.1776624934616
511,1564.9054865115625
512,1564.6334384624763
513,1564.3615184062166
514,1564.066870592838
515,1563.7723396362298
516,1563.5006024263942
517,1563.2062157862238
518,1562.9346341227347
519,1562.640391874155
520,1562.346266650001
