Category,Age Class,Age DR,Age Chi-Square,Body Class,Body DR,Body Chi-Square,Gender Class,Gender DR,Gender Chi-Square,Hair Class,Hair DR,Hair Chi-Square,Race Class,Race DR,Race Chi-Square,Validage Class,Validage DR,Validage Chi-Square,Validbody Class,Validbody DR,Validbody Chi-Square,Validgender Class,Validgender DR,Validgender Chi-Square,Validhair Class,Validhair DR,Validhair Chi-Square,Validrace Class,Validrace DR,Validrace Chi-Square
ApplyEyeMakeup,young,0.3264367816091954,272.28965517241375,wide_and_short,0.14482758620689656,111.46896551724139,female,0.4862068965517241,129.44137931034481,brown,0.09793103448275862,137.0344827586207,white,0.07816091954022988,127.97931034482755,young,1.0,0.0,wide_and_short,0.12931034482758622,105.01379310344826,female,1.0,0.0,brown,0.16091954022988506,28.73103448275862,white,0.08045977011494253,146.351724137931
ApplyLipstick,young,0.4956140350877193,110.03508771929825,wide_and_short,0.23026315789473684,274.0701754385965,female,1.0,0.0,black,0.11842105263157894,54.49122807017544,mexican,0.05701754385964912,54.10526315789474,young,1.0,0.0,wide_and_short,0.4780701754385965,94.87719298245614,female,1.0,0.0,black,0.16666666666666666,15.842105263157894,mexican,0.07719298245614035,39.59649122807017
Archery,young,0.10172413793103448,43.331034482758625,thin_and_short,0.11379310344827587,38.310344827586206,male,0.43103448275862066,76.03448275862068,red,0.07172413793103448,44.758620689655174,white,0.12551724137931033,185.65517241379314,young,0.09827586206896552,41.01379310344828,thin_and_short,0.12413793103448276,54.42068965517242,male,0.44482758620689655,88.06206896551724,red,0.09827586206896552,20.6,white,0.16551724137931034,139.93793103448274
BabyCrawling,kid,0.3106060606060606,213.04545454545456,wide_and_short,0.12310606060606061,51.93939393939394,male,0.29924242424242425,5.121212121212121,brown,0.09848484848484848,38.24242424242424,white,0.10454545454545454,105.27272727272728,kid,0.4772727272727273,109.0909090909091,wide_and_short,0.12121212121212122,52.96969696969697,male,0.29545454545454547,4.363636363636363,blonde,0.10984848484848485,48.06060606060606,white,0.13636363636363635,63.81818181818183
BalanceBeam,kid,0.19444444444444445,168.5185185185185,wide_and_short,0.48148148148148145,92.5925925925926,female,0.3287037037037037,10.703703703703704,blonde,0.1037037037037037,85.7037037037037,asian,0.05864197530864197,68.11111111111111,kid,0.48148148148148145,92.5925925925926,wide_and_short,0.4722222222222222,85.33333333333333,female,0.36574074074074076,23.14814814814815,blonde,0.1597222222222222,93.85185185185185,asian,0.12731481481481483,52.074074074074076
BandMarching,kid,0.15,144.3290322580645,thin_and_short,0.1956989247311828,75.26451612903226,female,0.34516129032258064,22.45806451612903,red,0.17903225806451614,188.3548387096774,white,0.07096774193548387,133.27096774193552,kid,0.3580645161290323,28.961290322580645,thin_and_short,0.33225806451612905,16.780645161290323,female,0.44193548387096776,91.36129032258064,red,0.24731182795698925,117.84516129032258,white,0.09161290322580645,97.48387096774192
BaseballPitch,kid,0.14166666666666666,104.02666666666667,wide_and_short,0.20333333333333334,254.0,male,0.49,138.24,red,0.14133333333333334,240.66666666666666,asian,0.072,46.06666666666666,kid,0.18888888888888888,41.16,wide_and_short,0.2,242.16,male,1.0,0.0,red,0.14,235.33333333333331,asian,0.11,31.493333333333332
Basketball,kid,0.14738805970149255,93.5223880597015,wide_and_short,0.21828358208955223,278.7761194029851,male,0.3582089552238806,25.104477611940297,black,0.06417910447761194,25.104477611940297,black,0.058208955223880594,11.149253731343283,kid,0.23383084577114427,82.13432835820895,wide_and_short,0.31094527363184077,216.73134328358213,male,0.35447761194029853,23.402985074626866,black,0.08507462686567165,73.16417910447761,black,0.07014925373134329,30.701492537313435
BasketballDunk,kid,0.48854961832061067,119.27480916030534,wide_and_short,0.3816793893129771,36.343511450381676,male,0.45038167938931295,84.16030534351145,red,0.0916030534351145,121.40458015267177,asian,0.062340966921119595,88.34351145038168,kid,1.0,0.0,wide_and_short,0.4083969465648855,52.587786259541986,male,0.4618320610687023,94.05343511450381,red,0.17557251908396945,55.4351145038168,asian,0.11259541984732824,78.31297709923665
BenchPress,young,0.1421875,146.75,thin_and_short,0.121875,88.4,male,0.3875,48.4,red,0.0725,94.4375,white,0.11875,93.05,young,0.19791666666666666,79.2875,thin_and_short,0.17916666666666667,53.44999999999999,male,0.396875,55.225,black,0.13541666666666666,7.962499999999999,white,0.1265625,91.15
