Category,Clip Labels,LLaVA Labels,Mismatch Count,Mismatch Ratio
ApplyLipstick,['female' 'mexican'],['female' 'white'],1,0.5
BabyCrawling,['male' 'white'],['female' 'white'],1,0.5
BalanceBeam,['female' 'asian'],['female' 'white'],1,0.5
BaseballPitch,['male' 'asian'],['male' 'white'],1,0.5
Basketball,['male' 'black'],['male' 'white'],1,0.5
BasketballDunk,['male' 'asian'],['male' 'white'],1,0.5
Biking,['male' 'black'],['female' 'white'],2,1.0
BlowDryHair,['female' 'mexican'],['female' 'white'],1,0.5
Bowling,['male' 'black'],['male' 'white'],1,0.5
BreastStroke,['female' 'indian'],['female' 'white'],1,0.5
CliffDiving,['male' 'white'],['female' 'white'],1,0.5
CricketBowling,['male' 'black'],['male' 'white'],1,0.5
CricketShot,['male' 'black'],['male' 'white'],1,0.5
CuttingInKitchen,['female' 'mexican'],['female' 'white'],1,0.5
Diving,['female' 'black'],['female' 'white'],1,0.5
Fencing,['male' 'asian'],['male' 'white'],1,0.5
FieldHockeyPenalty,['male' 'black'],['male' 'white'],1,0.5
FrontCrawl,['female' 'indian'],['female' 'white'],1,0.5
GolfSwing,['male' 'black'],['male' 'white'],1,0.5
Haircut,['female' 'asian'],['female' 'white'],1,0.5
HandstandPushups,['male' 'asian'],['male' 'white'],1,0.5
HandstandWalking,['female' 'asian'],['female' 'white'],1,0.5
HeadMassage,['male' 'indian'],['male' 'asian'],1,0.5
HighJump,['female' 'black'],['female' 'white'],1,0.5
HorseRace,['female' 'black'],['female' 'white'],1,0.5
HorseRiding,['female' 'black'],['female' 'white'],1,0.5
IceDancing,['female' 'asian'],['female' 'white'],1,0.5
JavelinThrow,['male' 'black'],['male' 'white'],1,0.5
JumpingJack,['male' 'black'],['male' 'white'],1,0.5
Kayaking,['male' 'black'],['female' 'white'],2,1.0
LongJump,['male' 'black'],['male' 'white'],1,0.5
MilitaryParade,['male' 'asian'],['male' 'white'],1,0.5
Mixing,['female' 'mexican'],['female' 'white'],1,0.5
MoppingFloor,['male' 'black'],['female' 'white'],2,1.0
PlayingCello,['male' 'white'],['female' 'white'],1,0.5
PlayingDaf,['male' 'middle_eastern'],['male' 'white'],1,0.5
PlayingFlute,['female' 'asian'],['female' 'white'],1,0.5
PlayingSitar,['male' 'white'],['male' 'indian'],1,0.5
PlayingTabla,['male' 'asian'],['male' 'indian'],1,0.5
PoleVault,['male' 'black'],['female' 'white'],2,1.0
PommelHorse,['male' 'asian'],['female' 'white'],2,1.0
Punch,['male' 'mexican'],['male' 'white'],1,0.5
Rafting,['male' 'black'],['female' 'white'],2,1.0
RockClimbingIndoor,['male' 'indian'],['female' 'white'],2,1.0
RopeClimbing,['male' 'white'],['female' 'white'],1,0.5
Rowing,['male' 'white'],['female' 'white'],1,0.5
SalsaSpin,['male' 'white'],['female' 'white'],1,0.5
SkateBoarding,['male' 'asian'],['male' 'white'],1,0.5
Skiing,['male' 'black'],['female' 'white'],2,1.0
Skijet,['male' 'mexican'],['female' 'white'],2,1.0
SkyDiving,['male' 'black'],['female' 'white'],2,1.0
SoccerPenalty,['male' 'asian'],['male' 'white'],1,0.5
StillRings,['female' 'mexican'],['female' 'white'],1,0.5
SumoWrestling,['male' 'white'],['male' 'asian'],1,0.5
Surfing,['male' 'mexican'],['female' 'white'],2,1.0
Swing,['male' 'black'],['female' 'white'],2,1.0
TableTennisShot,['male' 'white'],['male' 'asian'],1,0.5
TrampolineJumping,['male' 'black'],['female' 'white'],2,1.0
Typing,['male' 'asian'],['female' 'white'],2,1.0
UnevenBars,['female' 'asian'],['female' 'white'],1,0.5
VolleyballSpiking,['male' 'black'],['male' 'white'],1,0.5
WalkingWithDog,['male' 'black'],['female' 'white'],2,1.0
WallPushups,['male' 'white'],['female' 'white'],1,0.5
YoYo,['male' 'asian'],['male' 'white'],1,0.5
