video_name,thin and tall_count,thin and short_count,wide and tall_count,wide and short_count,final,category
v_Archery_g02_c03,0,1,0,4,wide and short,Archery
v_Archery_g02_c07,0,2,0,3,wide and short,Archery
v_Archery_g05_c02,0,4,0,1,thin and short,Archery
v_Archery_g16_c02,0,3,0,2,thin and short,Archery
v_Archery_g18_c01,0,4,0,1,thin and short,Archery
v_Archery_g19_c03,0,5,0,0,thin and short,Archery
v_Archery_g23_c02,0,2,0,3,wide and short,Archery
v_Archery_g24_c02,0,3,0,2,thin and short,Archery
v_BabyCrawling_g03_c01,0,1,0,4,wide and short,BabyCrawling
v_BabyCrawling_g03_c03,0,2,0,3,wide and short,BabyCrawling
v_BabyCrawling_g11_c01,0,2,0,3,wide and short,BabyCrawling
v_BabyCrawling_g12_c03,0,0,0,5,wide and short,BabyCrawling
v_BabyCrawling_g12_c05,0,2,0,3,wide and short,BabyCrawling
v_BabyCrawling_g13_c05,0,2,0,3,wide and short,BabyCrawling
v_BabyCrawling_g13_c06,0,1,0,4,wide and short,BabyCrawling
v_BabyCrawling_g18_c01,0,5,0,0,thin and short,BabyCrawling
v_BabyCrawling_g19_c04,0,1,0,4,wide and short,BabyCrawling
v_BabyCrawling_g22_c04,0,2,0,3,wide and short,BabyCrawling
v_BabyCrawling_g23_c03,0,2,0,3,wide and short,BabyCrawling
v_BabyCrawling_g24_c06,0,2,0,3,wide and short,BabyCrawling
v_BabyCrawling_g25_c01,0,2,0,3,wide and short,BabyCrawling
v_BalanceBeam_g02_c04,0,2,0,3,wide and short,BalanceBeam
v_BalanceBeam_g05_c04,0,1,0,4,wide and short,BalanceBeam
v_BalanceBeam_g06_c03,0,3,0,2,thin and short,BalanceBeam
v_BalanceBeam_g06_c04,0,3,0,2,thin and short,BalanceBeam
v_BalanceBeam_g06_c05,0,3,0,2,thin and short,BalanceBeam
v_BalanceBeam_g09_c02,0,2,0,3,wide and short,BalanceBeam
v_BalanceBeam_g11_c03,0,2,0,3,wide and short,BalanceBeam
v_BalanceBeam_g12_c01,0,2,0,3,wide and short,BalanceBeam
v_BalanceBeam_g12_c04,0,0,0,5,wide and short,BalanceBeam
v_BalanceBeam_g14_c01,0,1,0,4,wide and short,BalanceBeam
v_BalanceBeam_g16_c03,0,5,0,0,thin and short,BalanceBeam
v_BalanceBeam_g19_c02,0,1,0,4,wide and short,BalanceBeam
v_BalanceBeam_g19_c03,0,0,0,5,wide and short,BalanceBeam
v_BalanceBeam_g20_c04,0,2,0,3,wide and short,BalanceBeam
v_BalanceBeam_g21_c04,0,3,0,2,thin and short,BalanceBeam
v_BalanceBeam_g21_c05,0,3,0,2,thin and short,BalanceBeam
v_BalanceBeam_g22_c03,0,2,0,3,wide and short,BalanceBeam
v_BalanceBeam_g22_c04,0,2,0,3,wide and short,BalanceBeam
v_BalanceBeam_g23_c03,0,0,0,5,wide and short,BalanceBeam
v_BalanceBeam_g25_c03,0,0,0,5,wide and short,BalanceBeam
v_BalanceBeam_g25_c04,0,2,0,3,wide and short,BalanceBeam
v_BandMarching_g06_c02,0,5,0,0,thin and short,BandMarching
v_BandMarching_g11_c02,0,3,0,2,thin and short,BandMarching
v_BandMarching_g11_c03,0,5,0,0,thin and short,BandMarching
v_BandMarching_g12_c01,0,3,0,2,thin and short,BandMarching
v_BandMarching_g14_c04,0,0,0,5,wide and short,BandMarching
v_BandMarching_g15_c02,0,5,0,0,thin and short,BandMarching
v_BandMarching_g15_c03,0,5,0,0,thin and short,BandMarching
v_BandMarching_g15_c06,0,5,0,0,thin and short,BandMarching
v_BandMarching_g17_c01,0,5,0,0,thin and short,BandMarching
v_BandMarching_g18_c02,0,0,0,5,wide and short,BandMarching
v_BandMarching_g18_c03,0,0,0,5,wide and short,BandMarching
v_BandMarching_g19_c03,0,4,0,1,thin and short,BandMarching
v_BandMarching_g19_c04,0,3,0,2,thin and short,BandMarching
v_BandMarching_g19_c06,0,3,0,2,thin and short,BandMarching
v_BandMarching_g20_c01,0,1,0,4,wide and short,BandMarching
v_BandMarching_g20_c02,0,0,0,5,wide and short,BandMarching
v_BandMarching_g20_c03,0,0,0,5,wide and short,BandMarching
v_BandMarching_g22_c03,0,4,0,1,thin and short,BandMarching
v_BaseballPitch_g01_c01,0,2,0,3,wide and short,BaseballPitch
v_BaseballPitch_g01_c02,0,0,0,5,wide and short,BaseballPitch
v_BaseballPitch_g01_c04,0,0,0,5,wide and short,BaseballPitch
v_BaseballPitch_g15_c02,0,3,0,2,thin and short,BaseballPitch
v_BaseballPitch_g21_c02,0,2,0,3,wide and short,BaseballPitch
v_BaseballPitch_g21_c04,0,1,0,4,wide and short,BaseballPitch
v_Basketball_g03_c03,0,3,0,2,thin and short,Basketball
v_Basketball_g15_c01,0,5,0,0,thin and short,Basketball
v_Basketball_g15_c03,0,3,0,2,thin and short,Basketball
v_Basketball_g15_c06,0,3,0,2,thin and short,Basketball
v_Basketball_g17_c02,0,5,0,0,thin and short,Basketball
v_Basketball_g21_c06,0,3,0,2,thin and short,Basketball
v_Biking_g06_c03,0,3,0,2,thin and short,Biking
v_Biking_g07_c06,0,5,0,0,thin and short,Biking
v_Biking_g10_c03,0,2,0,3,wide and short,Biking
v_Biking_g10_c04,0,2,0,3,wide and short,Biking
v_Biking_g10_c06,0,0,0,5,wide and short,Biking
v_Biking_g12_c04,0,4,0,1,thin and short,Biking
v_Biking_g14_c02,0,1,0,4,wide and short,Biking
v_Biking_g17_c02,0,0,0,5,wide and short,Biking
v_Biking_g17_c03,0,1,0,4,wide and short,Biking
v_Biking_g17_c06,0,1,0,4,wide and short,Biking
v_Biking_g22_c02,0,2,0,3,wide and short,Biking
v_Biking_g22_c03,0,1,0,4,wide and short,Biking
v_BlowingCandles_g02_c04,0,2,0,3,wide and short,BlowingCandles
v_BlowingCandles_g04_c03,0,3,0,2,thin and short,BlowingCandles
v_BlowingCandles_g04_c05,0,5,0,0,thin and short,BlowingCandles
v_BlowingCandles_g05_c05,0,3,0,2,thin and short,BlowingCandles
v_BlowingCandles_g09_c01,0,2,0,3,wide and short,BlowingCandles
v_BlowingCandles_g11_c01,0,1,0,4,wide and short,BlowingCandles
v_BlowingCandles_g12_c03,0,4,0,1,thin and short,BlowingCandles
v_BlowingCandles_g12_c06,0,3,0,2,thin and short,BlowingCandles
v_BlowingCandles_g13_c02,0,2,0,3,wide and short,BlowingCandles
v_BlowingCandles_g13_c03,0,1,0,4,wide and short,BlowingCandles
v_BlowingCandles_g14_c03,0,0,0,5,wide and short,BlowingCandles
v_BlowingCandles_g14_c04,0,0,0,5,wide and short,BlowingCandles
v_BlowingCandles_g15_c03,0,4,0,1,thin and short,BlowingCandles
v_BlowingCandles_g17_c02,0,3,0,2,thin and short,BlowingCandles
v_BlowingCandles_g18_c02,0,1,0,4,wide and short,BlowingCandles
v_BlowingCandles_g18_c03,0,0,0,5,wide and short,BlowingCandles
v_BlowingCandles_g20_c01,0,0,0,5,wide and short,BlowingCandles
v_BlowingCandles_g21_c01,0,1,0,4,wide and short,BlowingCandles
v_BlowingCandles_g21_c04,0,0,0,5,wide and short,BlowingCandles
v_BlowingCandles_g23_c02,0,1,0,4,wide and short,BlowingCandles
v_BlowingCandles_g23_c03,0,0,0,5,wide and short,BlowingCandles
v_BlowingCandles_g24_c01,0,0,0,5,wide and short,BlowingCandles
v_BlowingCandles_g24_c02,0,0,0,5,wide and short,BlowingCandles
v_BlowingCandles_g25_c02,0,4,0,1,thin and short,BlowingCandles
v_BodyWeightSquats_g03_c02,0,2,0,3,wide and short,BodyWeightSquats
v_Bowling_g01_c06,0,5,0,0,thin and short,Bowling
v_Bowling_g03_c01,0,4,0,1,thin and short,Bowling
v_Bowling_g03_c03,0,4,0,1,thin and short,Bowling
v_Bowling_g03_c06,0,3,0,2,thin and short,Bowling
v_Bowling_g04_c02,0,4,0,1,thin and short,Bowling
v_Bowling_g05_c02,0,4,0,1,thin and short,Bowling
v_Bowling_g05_c03,0,3,0,2,thin and short,Bowling
v_Bowling_g05_c04,0,4,0,1,thin and short,Bowling
v_Bowling_g06_c04,0,3,0,2,thin and short,Bowling
v_Bowling_g07_c05,0,3,0,2,thin and short,Bowling
v_Bowling_g09_c05,0,5,0,0,thin and short,Bowling
v_Bowling_g09_c06,0,3,0,2,thin and short,Bowling
