video_name,black_count,blonde_count,red_count,white_count,final,category
v_ApplyEyeMakeup_g02_c01,3,2,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g03_c01,1,4,0,0,blonde,ApplyEyeMakeup
v_ApplyEyeMakeup_g03_c03,2,3,0,0,blonde,ApplyEyeMakeup
v_ApplyEyeMakeup_g03_c06,1,4,0,0,blonde,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c03,5,0,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g13_c02,0,5,0,0,blonde,ApplyEyeMakeup
v_ApplyEyeMakeup_g21_c03,3,2,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g21_c05,5,0,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g22_c02,0,5,0,0,blonde,ApplyEyeMakeup
v_ApplyLipstick_g05_c01,2,3,0,0,blonde,ApplyLipstick
v_ApplyLipstick_g06_c04,0,5,0,0,blonde,ApplyLipstick
v_ApplyLipstick_g06_c05,0,5,0,0,blonde,ApplyLipstick
v_ApplyLipstick_g13_c04,4,1,0,0,black,ApplyLipstick
v_ApplyLipstick_g16_c03,4,1,0,0,black,ApplyLipstick
v_ApplyLipstick_g17_c04,2,3,0,0,blonde,ApplyLipstick
v_ApplyLipstick_g17_c05,2,3,0,0,blonde,ApplyLipstick
v_Archery_g01_c02,2,3,0,0,blonde,Archery
v_Archery_g01_c05,0,4,1,0,blonde,Archery
v_Archery_g01_c06,0,3,2,0,blonde,Archery
v_Archery_g02_c06,3,2,0,0,black,Archery
v_Archery_g03_c03,5,0,0,0,black,Archery
v_Archery_g03_c04,5,0,0,0,black,Archery
v_Archery_g13_c01,5,0,0,0,black,Archery
v_Archery_g13_c02,5,0,0,0,black,Archery
v_Archery_g14_c01,2,3,0,0,blonde,Archery
v_Archery_g18_c04,0,5,0,0,blonde,Archery
v_Archery_g18_c05,0,5,0,0,blonde,Archery
v_Archery_g18_c06,0,5,0,0,blonde,Archery
v_BabyCrawling_g03_c02,3,2,0,0,black,BabyCrawling
v_BabyCrawling_g16_c02,3,2,0,0,black,BabyCrawling
v_BabyCrawling_g16_c03,5,0,0,0,black,BabyCrawling
v_BabyCrawling_g24_c04,3,2,0,0,black,BabyCrawling
v_BalanceBeam_g01_c04,0,5,0,0,blonde,BalanceBeam
v_BalanceBeam_g05_c03,4,1,0,0,black,BalanceBeam
v_BalanceBeam_g06_c01,4,1,0,0,black,BalanceBeam
v_BalanceBeam_g11_c01,0,5,0,0,blonde,BalanceBeam
v_BalanceBeam_g11_c03,0,5,0,0,blonde,BalanceBeam
v_BalanceBeam_g12_c01,4,1,0,0,black,BalanceBeam
v_BalanceBeam_g15_c04,3,2,0,0,black,BalanceBeam
v_BalanceBeam_g16_c01,1,4,0,0,blonde,BalanceBeam
v_BalanceBeam_g16_c02,0,5,0,0,blonde,BalanceBeam
v_BalanceBeam_g17_c01,3,2,0,0,black,BalanceBeam
v_BalanceBeam_g25_c02,2,3,0,0,blonde,BalanceBeam
v_BalanceBeam_g25_c04,0,5,0,0,blonde,BalanceBeam
v_BandMarching_g06_c01,0,5,0,0,blonde,BandMarching
v_BandMarching_g06_c02,1,4,0,0,blonde,BandMarching
v_BandMarching_g07_c01,4,1,0,0,black,BandMarching
v_BandMarching_g07_c02,3,2,0,0,black,BandMarching
v_BandMarching_g07_c06,3,2,0,0,black,BandMarching
v_BandMarching_g09_c01,0,5,0,0,blonde,BandMarching
v_BandMarching_g09_c02,0,5,0,0,blonde,BandMarching
v_BandMarching_g09_c04,0,5,0,0,blonde,BandMarching
v_BandMarching_g11_c02,1,4,0,0,blonde,BandMarching
v_BandMarching_g11_c03,0,5,0,0,blonde,BandMarching
v_BandMarching_g11_c04,1,4,0,0,blonde,BandMarching
v_BandMarching_g12_c01,1,4,0,0,blonde,BandMarching
v_BandMarching_g12_c04,0,5,0,0,blonde,BandMarching
v_BandMarching_g12_c06,2,3,0,0,blonde,BandMarching
v_BandMarching_g14_c01,2,3,0,0,blonde,BandMarching
v_BandMarching_g14_c03,0,5,0,0,blonde,BandMarching
v_BandMarching_g14_c06,0,5,0,0,blonde,BandMarching
v_BandMarching_g16_c02,2,3,0,0,blonde,BandMarching
v_BandMarching_g16_c03,0,5,0,0,blonde,BandMarching
v_BandMarching_g16_c04,0,5,0,0,blonde,BandMarching
v_BandMarching_g17_c01,0,5,0,0,blonde,BandMarching
v_BandMarching_g17_c02,0,5,0,0,blonde,BandMarching
v_BandMarching_g18_c02,5,0,0,0,black,BandMarching
v_BandMarching_g18_c03,5,0,0,0,black,BandMarching
v_BandMarching_g23_c04,0,5,0,0,blonde,BandMarching
v_BandMarching_g25_c01,1,4,0,0,blonde,BandMarching
v_BandMarching_g25_c06,1,4,0,0,blonde,BandMarching
v_BandMarching_g25_c07,2,3,0,0,blonde,BandMarching
v_BaseballPitch_g01_c05,0,5,0,0,blonde,BaseballPitch
v_BaseballPitch_g09_c01,0,5,0,0,blonde,BaseballPitch
v_BaseballPitch_g18_c03,1,4,0,0,blonde,BaseballPitch
v_BaseballPitch_g18_c05,2,3,0,0,blonde,BaseballPitch
v_BaseballPitch_g19_c02,2,3,0,0,blonde,BaseballPitch
v_BaseballPitch_g19_c05,2,3,0,0,blonde,BaseballPitch
v_BaseballPitch_g22_c04,2,3,0,0,blonde,BaseballPitch
v_BaseballPitch_g23_c03,3,2,0,0,black,BaseballPitch
v_BaseballPitch_g23_c05,3,2,0,0,black,BaseballPitch
v_BaseballPitch_g23_c07,4,1,0,0,black,BaseballPitch
v_BaseballPitch_g24_c06,4,1,0,0,black,BaseballPitch
v_BaseballPitch_g24_c07,4,1,0,0,black,BaseballPitch
v_BasketballDunk_g01_c01,5,0,0,0,black,BasketballDunk
v_BasketballDunk_g01_c06,5,0,0,0,black,BasketballDunk
v_BasketballDunk_g03_c03,1,4,0,0,blonde,BasketballDunk
v_BasketballDunk_g03_c06,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g04_c01,2,3,0,0,blonde,BasketballDunk
v_BasketballDunk_g04_c03,1,4,0,0,blonde,BasketballDunk
v_BasketballDunk_g05_c02,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g05_c03,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g05_c05,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g07_c04,1,4,0,0,blonde,BasketballDunk
v_BasketballDunk_g08_c01,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g09_c03,1,4,0,0,blonde,BasketballDunk
v_BasketballDunk_g10_c01,5,0,0,0,black,BasketballDunk
v_BasketballDunk_g10_c03,3,2,0,0,black,BasketballDunk
v_BasketballDunk_g11_c01,4,1,0,0,black,BasketballDunk
v_BasketballDunk_g11_c04,3,2,0,0,black,BasketballDunk
v_BasketballDunk_g12_c02,2,3,0,0,blonde,BasketballDunk
v_BasketballDunk_g12_c04,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g13_c04,3,2,0,0,black,BasketballDunk
v_BasketballDunk_g14_c03,2,3,0,0,blonde,BasketballDunk
v_BasketballDunk_g14_c04,2,3,0,0,blonde,BasketballDunk
v_BasketballDunk_g14_c06,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g15_c02,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g15_c03,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g15_c07,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g16_c01,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g16_c02,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g16_c05,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g17_c01,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g17_c02,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g17_c05,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g18_c01,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g18_c02,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g19_c02,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g19_c04,1,4,0,0,blonde,BasketballDunk
v_BasketballDunk_g20_c03,5,0,0,0,black,BasketballDunk
v_BasketballDunk_g20_c05,5,0,0,0,black,BasketballDunk
v_BasketballDunk_g22_c04,2,3,0,0,blonde,BasketballDunk
v_BasketballDunk_g23_c04,2,3,0,0,blonde,BasketballDunk
v_BasketballDunk_g23_c05,2,3,0,0,blonde,BasketballDunk
v_BasketballDunk_g24_c01,4,1,0,0,black,BasketballDunk
v_BasketballDunk_g25_c02,0,5,0,0,blonde,BasketballDunk
v_BasketballDunk_g25_c04,2,3,0,0,blonde,BasketballDunk
v_Basketball_g02_c03,1,4,0,0,blonde,Basketball
v_Basketball_g04_c02,4,1,0,0,black,Basketball
v_Basketball_g10_c05,2,3,0,0,blonde,Basketball
v_Basketball_g14_c01,2,3,0,0,blonde,Basketball
v_Basketball_g14_c05,2,3,0,0,blonde,Basketball
v_Basketball_g15_c02,5,0,0,0,black,Basketball
v_Basketball_g15_c03,4,1,0,0,black,Basketball
v_Basketball_g15_c07,4,1,0,0,black,Basketball
v_Basketball_g17_c03,0,5,0,0,blonde,Basketball
v_Basketball_g18_c01,1,4,0,0,blonde,Basketball
v_Basketball_g18_c03,2,3,0,0,blonde,Basketball
v_Basketball_g21_c02,3,2,0,0,black,Basketball
v_Basketball_g21_c03,5,0,0,0,black,Basketball
v_Basketball_g24_c01,1,4,0,0,blonde,Basketball
v_Basketball_g24_c02,2,3,0,0,blonde,Basketball
v_BenchPress_g04_c03,5,0,0,0,black,BenchPress
v_BenchPress_g21_c01,0,5,0,0,blonde,BenchPress
v_BenchPress_g21_c02,1,4,0,0,blonde,BenchPress
v_BenchPress_g23_c05,3,2,0,0,black,BenchPress
v_BenchPress_g24_c03,3,2,0,0,black,BenchPress
v_BenchPress_g24_c05,4,1,0,0,black,BenchPress
v_BenchPress_g24_c07,3,2,0,0,black,BenchPress
v_BenchPress_g25_c01,2,3,0,0,blonde,BenchPress
v_Biking_g06_c02,5,0,0,0,black,Biking
v_Biking_g06_c03,5,0,0,0,black,Biking
v_Biking_g07_c05,0,5,0,0,blonde,Biking
v_Biking_g07_c06,0,5,0,0,blonde,Biking
v_Biking_g09_c03,4,1,0,0,black,Biking
v_Biking_g13_c03,1,4,0,0,blonde,Biking
v_Biking_g20_c04,0,5,0,0,blonde,Biking
v_Biking_g20_c06,1,4,0,0,blonde,Biking
v_Biking_g20_c07,0,5,0,0,blonde,Biking
v_Biking_g22_c02,0,5,0,0,blonde,Biking
v_Biking_g25_c03,0,5,0,0,blonde,Biking
v_Biking_g25_c04,0,5,0,0,blonde,Biking
v_Billiards_g01_c02,5,0,0,0,black,Billiards
v_Billiards_g02_c03,2,3,0,0,blonde,Billiards
v_Billiards_g02_c05,0,5,0,0,blonde,Billiards
v_Billiards_g02_c06,2,3,0,0,blonde,Billiards
v_Billiards_g03_c03,5,0,0,0,black,Billiards
v_Billiards_g03_c04,3,2,0,0,black,Billiards
v_Billiards_g04_c05,4,1,0,0,black,Billiards
v_Billiards_g04_c07,3,2,0,0,black,Billiards
v_Billiards_g05_c01,2,3,0,0,blonde,Billiards
v_Billiards_g05_c03,2,3,0,0,blonde,Billiards
v_Billiards_g07_c02,2,3,0,0,blonde,Billiards
v_Billiards_g07_c03,1,4,0,0,blonde,Billiards
v_Billiards_g09_c02,2,3,0,0,blonde,Billiards
v_Billiards_g09_c03,1,4,0,0,blonde,Billiards
v_Billiards_g09_c06,0,5,0,0,blonde,Billiards
v_Billiards_g11_c02,5,0,0,0,black,Billiards
v_Billiards_g11_c03,4,1,0,0,black,Billiards
v_Billiards_g11_c05,5,0,0,0,black,Billiards
v_Billiards_g12_c03,2,3,0,0,blonde,Billiards
v_Billiards_g12_c06,1,4,0,0,blonde,Billiards
v_Billiards_g13_c02,2,3,0,0,blonde,Billiards
v_Billiards_g13_c05,2,3,0,0,blonde,Billiards
v_Billiards_g14_c01,5,0,0,0,black,Billiards
v_Billiards_g14_c02,3,2,0,0,black,Billiards
v_Billiards_g14_c05,4,1,0,0,black,Billiards
v_Billiards_g15_c05,0,5,0,0,blonde,Billiards
v_Billiards_g15_c07,0,5,0,0,blonde,Billiards
v_Billiards_g16_c01,4,1,0,0,black,Billiards
v_Billiards_g16_c03,4,1,0,0,black,Billiards
v_Billiards_g17_c03,5,0,0,0,black,Billiards
v_Billiards_g18_c05,2,3,0,0,blonde,Billiards
v_Billiards_g19_c02,1,4,0,0,blonde,Billiards
v_Billiards_g19_c04,0,5,0,0,blonde,Billiards
v_Billiards_g21_c03,4,1,0,0,black,Billiards
v_Billiards_g21_c04,3,2,0,0,black,Billiards
v_Billiards_g21_c05,5,0,0,0,black,Billiards
v_Billiards_g22_c01,4,1,0,0,black,Billiards
v_Billiards_g22_c02,4,1,0,0,black,Billiards
v_Billiards_g23_c03,2,3,0,0,blonde,Billiards
v_Billiards_g23_c04,0,5,0,0,blonde,Billiards
v_Billiards_g25_c01,5,0,0,0,black,Billiards
v_Billiards_g25_c04,4,1,0,0,black,Billiards
v_BlowDryHair_g13_c03,5,0,0,0,black,BlowDryHair
v_BlowDryHair_g18_c04,3,2,0,0,black,BlowDryHair
v_BlowDryHair_g22_c02,2,3,0,0,blonde,BlowDryHair
v_BlowDryHair_g22_c03,2,3,0,0,blonde,BlowDryHair
v_BlowDryHair_g23_c04,1,4,0,0,blonde,BlowDryHair
v_BlowDryHair_g23_c06,0,5,0,0,blonde,BlowDryHair
v_BlowingCandles_g04_c03,0,5,0,0,blonde,BlowingCandles
v_BlowingCandles_g07_c01,5,0,0,0,black,BlowingCandles
v_BlowingCandles_g09_c02,5,0,0,0,black,BlowingCandles
v_BlowingCandles_g11_c03,1,4,0,0,blonde,BlowingCandles
v_BlowingCandles_g11_c04,0,5,0,0,blonde,BlowingCandles
v_BlowingCandles_g12_c03,1,4,0,0,blonde,BlowingCandles
v_BlowingCandles_g15_c01,0,5,0,0,blonde,BlowingCandles
v_BlowingCandles_g15_c02,0,5,0,0,blonde,BlowingCandles
v_BlowingCandles_g19_c02,0,5,0,0,blonde,BlowingCandles
