video_name,white_count,middle_eastern_count,asian_count,indian_count,latino_count,black_count,final,category
v_ApplyEyeMakeup_g17_c03,3,1,1,0,0,0,white,ApplyEyeMakeup
v_ApplyEyeMakeup_g17_c04,2,1,2,0,0,0,uncertain,ApplyEyeMakeup
v_ApplyLipstick_g10_c02,5,0,0,0,0,0,white,ApplyLipstick
v_ApplyLipstick_g10_c03,5,0,0,0,0,0,white,ApplyLipstick
v_ApplyLipstick_g18_c04,2,0,3,0,0,0,asian,ApplyLipstick
v_ApplyLipstick_g20_c01,3,0,0,0,0,2,white,ApplyLipstick
v_Archery_g03_c01,5,0,0,0,0,0,white,Archery
v_Archery_g03_c02,5,0,0,0,0,0,white,Archery
v_Archery_g05_c01,1,0,4,0,0,0,asian,Archery
v_Archery_g09_c01,3,0,2,0,0,0,white,Archery
v_Archery_g10_c04,2,0,3,0,0,0,asian,Archery
v_Archery_g10_c05,2,0,3,0,0,0,asian,Archery
v_Archery_g10_c06,2,0,3,0,0,0,asian,Archery
v_BalanceBeam_g05_c03,1,0,4,0,0,0,asian,BalanceBeam
v_BalanceBeam_g07_c03,2,0,3,0,0,0,asian,BalanceBeam
v_BalanceBeam_g11_c04,2,0,3,0,0,0,asian,BalanceBeam
v_BalanceBeam_g14_c01,5,0,0,0,0,0,white,BalanceBeam
v_BalanceBeam_g14_c04,5,0,0,0,0,0,white,BalanceBeam
v_BalanceBeam_g19_c04,2,0,3,0,0,0,asian,BalanceBeam
v_BalanceBeam_g20_c01,0,0,5,0,0,0,asian,BalanceBeam
v_BalanceBeam_g21_c02,4,0,1,0,0,0,white,BalanceBeam
v_BalanceBeam_g21_c05,3,0,2,0,0,0,white,BalanceBeam
v_BalanceBeam_g23_c05,2,0,3,0,0,0,asian,BalanceBeam
v_BalanceBeam_g24_c01,0,0,5,0,0,0,asian,BalanceBeam
v_BandMarching_g05_c02,0,0,5,0,0,0,asian,BandMarching
v_BandMarching_g11_c01,2,3,0,0,0,0,middle eastern,BandMarching
v_BandMarching_g12_c04,0,1,4,0,0,0,asian,BandMarching
v_BandMarching_g22_c03,0,0,5,0,0,0,asian,BandMarching
v_BaseballPitch_g05_c07,2,0,3,0,0,0,asian,BaseballPitch
v_BaseballPitch_g11_c01,1,0,4,0,0,0,asian,BaseballPitch
v_BaseballPitch_g11_c05,1,0,4,0,0,0,asian,BaseballPitch
v_BaseballPitch_g13_c05,2,0,3,0,0,0,asian,BaseballPitch
v_BaseballPitch_g17_c04,3,0,2,0,0,0,white,BaseballPitch
v_BaseballPitch_g19_c03,5,0,0,0,0,0,white,BaseballPitch
v_BaseballPitch_g19_c04,5,0,0,0,0,0,white,BaseballPitch
v_BaseballPitch_g22_c02,2,0,3,0,0,0,asian,BaseballPitch
v_BasketballDunk_g15_c07,2,0,3,0,0,0,asian,BasketballDunk
v_BasketballDunk_g18_c06,1,0,0,4,0,0,indian,BasketballDunk
v_Basketball_g07_c03,0,0,5,0,0,0,asian,Basketball
v_Basketball_g25_c04,3,0,2,0,0,0,white,Basketball
v_Biking_g08_c03,2,0,3,0,0,0,asian,Biking
v_Biking_g09_c03,2,3,0,0,0,0,middle eastern,Biking
v_Biking_g13_c01,0,0,5,0,0,0,asian,Biking
v_Biking_g13_c02,2,0,3,0,0,0,asian,Biking
v_Biking_g24_c05,2,0,3,0,0,0,asian,Biking
v_Biking_g24_c06,1,1,3,0,0,0,asian,Biking
v_Billiards_g01_c01,1,0,4,0,0,0,asian,Billiards
v_Billiards_g01_c05,0,0,5,0,0,0,asian,Billiards
v_Billiards_g02_c03,2,0,3,0,0,0,asian,Billiards
v_Billiards_g02_c07,2,0,3,0,0,0,asian,Billiards
v_Billiards_g03_c02,2,0,3,0,0,0,asian,Billiards
v_Billiards_g03_c03,2,0,3,0,0,0,asian,Billiards
v_Billiards_g05_c02,5,0,0,0,0,0,white,Billiards
v_Billiards_g05_c03,5,0,0,0,0,0,white,Billiards
v_Billiards_g06_c01,1,0,4,0,0,0,asian,Billiards
v_Billiards_g09_c07,2,0,3,0,0,0,asian,Billiards
v_Billiards_g12_c04,2,0,3,0,0,0,asian,Billiards
v_Billiards_g16_c05,0,0,5,0,0,0,asian,Billiards
v_Billiards_g17_c04,1,0,4,0,0,0,asian,Billiards
v_Billiards_g18_c01,2,0,3,0,0,0,asian,Billiards
v_Billiards_g18_c02,2,0,3,0,0,0,asian,Billiards
v_Billiards_g18_c07,1,0,4,0,0,0,asian,Billiards
v_Billiards_g23_c03,2,0,3,0,0,0,asian,Billiards
v_Billiards_g24_c03,3,0,2,0,0,0,white,Billiards
v_Billiards_g25_c06,0,0,5,0,0,0,asian,Billiards
v_BlowDryHair_g06_c02,0,0,5,0,0,0,asian,BlowDryHair
v_BlowDryHair_g06_c07,2,0,1,0,0,2,uncertain,BlowDryHair
v_BlowDryHair_g08_c01,3,0,0,0,0,2,white,BlowDryHair
v_BlowDryHair_g08_c02,3,0,0,0,0,2,white,BlowDryHair
v_BlowDryHair_g08_c05,4,0,0,0,0,1,white,BlowDryHair
v_BlowDryHair_g09_c01,5,0,0,0,0,0,white,BlowDryHair
v_BlowDryHair_g09_c04,2,0,1,0,0,2,uncertain,BlowDryHair
v_BlowDryHair_g17_c05,0,0,1,4,0,0,indian,BlowDryHair
v_BlowDryHair_g22_c01,1,0,0,0,0,4,black,BlowDryHair
v_BlowingCandles_g04_c01,2,0,3,0,0,0,asian,BlowingCandles
v_BlowingCandles_g11_c03,5,0,0,0,0,0,white,BlowingCandles
