video_name,kid_count,young_count,old_count,final,category
v_ApplyEyeMakeup_g01_c02,0,0,5,old,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c04,0,3,2,young,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c06,0,3,2,young,ApplyEyeMakeup
v_ApplyEyeMakeup_g06_c06,0,1,4,old,ApplyEyeMakeup
v_ApplyEyeMakeup_g07_c01,0,1,4,old,ApplyEyeMakeup
v_ApplyEyeMakeup_g07_c02,0,0,5,old,ApplyEyeMakeup
v_ApplyEyeMakeup_g09_c01,0,1,4,old,ApplyEyeMakeup
v_ApplyEyeMakeup_g09_c05,0,1,4,old,ApplyEyeMakeup
v_ApplyEyeMakeup_g10_c04,3,2,0,kid,ApplyEyeMakeup
v_ApplyEyeMakeup_g17_c03,0,3,2,young,ApplyEyeMakeup
v_ApplyEyeMakeup_g17_c05,0,5,0,young,ApplyEyeMakeup
v_ApplyEyeMakeup_g19_c02,0,0,5,old,ApplyEyeMakeup
v_ApplyEyeMakeup_g22_c03,0,4,1,young,ApplyEyeMakeup
v_ApplyEyeMakeup_g23_c03,0,0,5,old,ApplyEyeMakeup
v_ApplyEyeMakeup_g24_c06,0,3,2,young,ApplyEyeMakeup
v_ApplyEyeMakeup_g25_c07,0,0,5,old,ApplyEyeMakeup
v_ApplyLipstick_g11_c01,0,5,0,young,ApplyLipstick
v_ApplyLipstick_g11_c02,0,5,0,young,ApplyLipstick
v_ApplyLipstick_g12_c01,5,0,0,kid,ApplyLipstick
v_ApplyLipstick_g12_c05,3,2,0,kid,ApplyLipstick
v_ApplyLipstick_g13_c03,0,2,3,old,ApplyLipstick
v_ApplyLipstick_g21_c03,0,3,2,young,ApplyLipstick
v_ApplyLipstick_g21_c04,0,3,2,young,ApplyLipstick
v_ApplyLipstick_g23_c02,0,1,4,old,ApplyLipstick
v_Archery_g06_c04,0,1,4,old,Archery
v_Archery_g06_c05,0,0,5,old,Archery
v_Archery_g07_c02,0,3,2,young,Archery
v_Archery_g07_c03,0,4,1,young,Archery
v_Archery_g07_c05,1,2,2,young,Archery
v_Archery_g10_c01,1,4,0,young,Archery
v_Archery_g10_c02,1,4,0,young,Archery
v_Archery_g11_c06,0,0,5,old,Archery
v_Archery_g12_c04,0,1,4,old,Archery
v_Archery_g15_c01,0,3,2,young,Archery
v_Archery_g15_c03,0,3,2,young,Archery
v_Archery_g21_c03,0,3,2,young,Archery
v_Archery_g23_c03,0,2,3,old,Archery
v_Archery_g24_c06,0,2,3,old,Archery
v_Archery_g25_c04,0,2,3,old,Archery
v_BalanceBeam_g10_c03,3,2,0,kid,BalanceBeam
v_BalanceBeam_g13_c05,3,2,0,kid,BalanceBeam
v_BalanceBeam_g23_c03,3,2,0,kid,BalanceBeam
v_BandMarching_g01_c05,4,0,1,kid,BandMarching
v_BandMarching_g01_c06,4,0,1,kid,BandMarching
v_BandMarching_g04_c01,1,0,4,old,BandMarching
v_BandMarching_g05_c01,2,2,1,kid,BandMarching
v_BandMarching_g05_c02,0,2,3,old,BandMarching
v_BandMarching_g05_c05,0,1,4,old,BandMarching
v_BandMarching_g06_c02,4,0,1,kid,BandMarching
v_BandMarching_g07_c01,5,0,0,kid,BandMarching
v_BandMarching_g09_c05,0,1,4,old,BandMarching
v_BandMarching_g10_c04,1,1,3,old,BandMarching
v_BandMarching_g10_c05,0,1,4,old,BandMarching
v_BandMarching_g11_c01,0,2,3,old,BandMarching
v_BandMarching_g11_c05,0,0,5,old,BandMarching
v_BandMarching_g12_c05,2,2,1,kid,BandMarching
v_BandMarching_g13_c01,4,1,0,kid,BandMarching
v_BandMarching_g14_c02,2,2,1,kid,BandMarching
v_BandMarching_g14_c04,0,1,4,old,BandMarching
v_BandMarching_g15_c02,0,5,0,young,BandMarching
v_BandMarching_g15_c03,1,2,2,young,BandMarching
v_BandMarching_g16_c04,2,3,0,young,BandMarching
v_BandMarching_g16_c05,0,4,1,young,BandMarching
v_BandMarching_g16_c06,0,3,2,young,BandMarching
v_BandMarching_g17_c01,0,0,5,old,BandMarching
v_BandMarching_g18_c01,0,4,1,young,BandMarching
v_BandMarching_g18_c04,0,4,1,young,BandMarching
v_BandMarching_g18_c05,0,4,1,young,BandMarching
v_BandMarching_g19_c05,2,3,0,young,BandMarching
v_BandMarching_g19_c06,0,5,0,young,BandMarching
v_BandMarching_g19_c07,1,3,1,young,BandMarching
v_BandMarching_g20_c05,0,5,0,young,BandMarching
v_BandMarching_g20_c06,0,5,0,young,BandMarching
v_BandMarching_g21_c02,0,2,3,old,BandMarching
v_BandMarching_g21_c04,0,2,3,old,BandMarching
v_BandMarching_g22_c01,0,1,4,old,BandMarching
v_BandMarching_g23_c06,0,1,4,old,BandMarching
v_BaseballPitch_g02_c01,0,3,2,young,BaseballPitch
v_BaseballPitch_g02_c02,0,3,2,young,BaseballPitch
v_BaseballPitch_g03_c02,1,2,2,young,BaseballPitch
v_BaseballPitch_g05_c01,1,4,0,young,BaseballPitch
v_BaseballPitch_g08_c04,2,3,0,young,BaseballPitch
v_BaseballPitch_g08_c06,2,3,0,young,BaseballPitch
v_BaseballPitch_g09_c05,3,2,0,kid,BaseballPitch
v_BaseballPitch_g09_c06,3,2,0,kid,BaseballPitch
v_BaseballPitch_g10_c02,0,1,4,old,BaseballPitch
v_BaseballPitch_g10_c04,0,1,4,old,BaseballPitch
v_BaseballPitch_g15_c07,3,2,0,kid,BaseballPitch
v_BaseballPitch_g17_c04,0,5,0,young,BaseballPitch
v_BaseballPitch_g18_c01,0,3,2,young,BaseballPitch
v_BaseballPitch_g18_c02,0,3,2,young,BaseballPitch
v_BaseballPitch_g19_c03,0,3,2,young,BaseballPitch
v_BaseballPitch_g19_c04,0,3,2,young,BaseballPitch
v_BaseballPitch_g21_c02,3,2,0,kid,BaseballPitch
v_BaseballPitch_g23_c01,3,2,0,kid,BaseballPitch
v_BaseballPitch_g24_c04,2,3,0,young,BaseballPitch
v_BaseballPitch_g24_c06,1,4,0,young,BaseballPitch
v_BasketballDunk_g01_c05,0,5,0,young,BasketballDunk
v_BasketballDunk_g02_c04,0,4,1,young,BasketballDunk
v_BasketballDunk_g03_c04,0,5,0,young,BasketballDunk
v_BasketballDunk_g03_c05,0,5,0,young,BasketballDunk
v_BasketballDunk_g04_c01,0,5,0,young,BasketballDunk
v_BasketballDunk_g04_c02,0,5,0,young,BasketballDunk
v_BasketballDunk_g05_c01,0,0,5,old,BasketballDunk
v_BasketballDunk_g05_c03,2,2,1,kid,BasketballDunk
v_BasketballDunk_g07_c03,0,4,1,young,BasketballDunk
v_BasketballDunk_g07_c04,0,5,0,young,BasketballDunk
v_BasketballDunk_g07_c05,0,5,0,young,BasketballDunk
v_BasketballDunk_g08_c01,0,5,0,young,BasketballDunk
v_BasketballDunk_g08_c05,0,5,0,young,BasketballDunk
v_BasketballDunk_g10_c05,1,4,0,young,BasketballDunk
v_BasketballDunk_g11_c04,0,5,0,young,BasketballDunk
v_BasketballDunk_g11_c05,0,5,0,young,BasketballDunk
v_BasketballDunk_g12_c04,0,2,3,old,BasketballDunk
v_BasketballDunk_g13_c02,0,2,3,old,BasketballDunk
v_BasketballDunk_g14_c01,0,1,4,old,BasketballDunk
v_BasketballDunk_g14_c03,0,2,3,old,BasketballDunk
v_BasketballDunk_g15_c06,0,2,3,old,BasketballDunk
v_BasketballDunk_g16_c01,1,2,2,young,BasketballDunk
v_BasketballDunk_g16_c02,0,5,0,young,BasketballDunk
v_BasketballDunk_g16_c03,0,5,0,young,BasketballDunk
v_BasketballDunk_g17_c03,0,2,3,old,BasketballDunk
v_BasketballDunk_g17_c04,0,1,4,old,BasketballDunk
v_BasketballDunk_g17_c07,0,2,3,old,BasketballDunk
v_BasketballDunk_g18_c01,0,4,1,young,BasketballDunk
v_BasketballDunk_g18_c04,0,5,0,young,BasketballDunk
v_BasketballDunk_g18_c05,0,5,0,young,BasketballDunk
v_BasketballDunk_g22_c04,2,2,1,kid,BasketballDunk
v_BasketballDunk_g23_c03,0,2,3,old,BasketballDunk
v_Basketball_g01_c01,3,2,0,kid,Basketball
v_Basketball_g01_c04,4,1,0,kid,Basketball
v_Basketball_g02_c02,0,4,1,young,Basketball
v_Basketball_g04_c01,1,4,0,young,Basketball
v_Basketball_g04_c04,2,3,0,young,Basketball
v_Basketball_g05_c03,0,5,0,young,Basketball
v_Basketball_g07_c03,2,3,0,young,Basketball
v_Basketball_g09_c02,3,2,0,kid,Basketball
v_Basketball_g10_c05,3,2,0,kid,Basketball
v_Basketball_g12_c04,4,1,0,kid,Basketball
v_Basketball_g12_c05,4,1,0,kid,Basketball
v_Basketball_g14_c05,2,3,0,young,Basketball
v_Basketball_g15_c02,1,4,0,young,Basketball
v_Basketball_g16_c04,2,3,0,young,Basketball
v_Basketball_g17_c01,0,5,0,young,Basketball
v_Basketball_g17_c02,1,4,0,young,Basketball
v_Basketball_g18_c05,0,5,0,young,Basketball
v_Basketball_g19_c04,0,5,0,young,Basketball
v_Basketball_g19_c05,2,3,0,young,Basketball
v_Basketball_g20_c01,2,3,0,young,Basketball
v_Basketball_g20_c05,2,3,0,young,Basketball
v_Basketball_g20_c06,0,5,0,young,Basketball
v_Basketball_g21_c05,5,0,0,kid,Basketball
v_Basketball_g22_c01,4,1,0,kid,Basketball
v_Basketball_g22_c03,2,2,1,kid,Basketball
v_Basketball_g23_c06,4,1,0,kid,Basketball
v_Basketball_g25_c03,5,0,0,kid,Basketball
v_Basketball_g25_c04,3,2,0,kid,Basketball
v_Basketball_g25_c05,4,1,0,kid,Basketball
v_BenchPress_g02_c06,0,3,2,young,BenchPress
v_BenchPress_g04_c03,0,3,2,young,BenchPress
v_BenchPress_g05_c01,2,1,2,kid,BenchPress
v_BenchPress_g08_c01,0,4,1,young,BenchPress
v_BenchPress_g08_c05,2,1,2,kid,BenchPress
v_BenchPress_g14_c06,0,3,2,young,BenchPress
v_BenchPress_g19_c02,0,3,2,young,BenchPress
v_BenchPress_g19_c03,0,3,2,young,BenchPress
v_BenchPress_g21_c02,0,2,3,old,BenchPress
v_BenchPress_g25_c04,3,0,2,kid,BenchPress
v_Biking_g02_c02,4,1,0,kid,Biking
v_Biking_g02_c07,0,2,3,old,Biking
v_Biking_g05_c02,0,4,1,young,Biking
v_Biking_g05_c03,0,5,0,young,Biking
v_Biking_g05_c05,0,5,0,young,Biking
v_Biking_g06_c01,4,1,0,kid,Biking
v_Biking_g07_c02,0,3,2,young,Biking
v_Biking_g07_c05,0,5,0,young,Biking
v_Biking_g07_c06,0,5,0,young,Biking
v_Biking_g08_c01,0,2,3,old,Biking
v_Biking_g08_c03,0,2,3,old,Biking
v_Biking_g11_c02,0,3,2,young,Biking
v_Biking_g12_c04,0,5,0,young,Biking
v_Biking_g13_c01,2,3,0,young,Biking
v_Biking_g13_c02,4,1,0,kid,Biking
v_Biking_g13_c05,0,5,0,young,Biking
v_Biking_g16_c01,0,0,5,old,Biking
v_Biking_g16_c04,0,0,5,old,Biking
v_Biking_g23_c02,0,4,1,young,Biking
v_Biking_g23_c03,0,4,1,young,Biking
v_Biking_g25_c01,0,5,0,young,Biking
v_Biking_g25_c02,0,5,0,young,Biking
v_Billiards_g01_c05,0,5,0,young,Billiards
v_Billiards_g03_c02,0,3,2,young,Billiards
v_Billiards_g05_c01,0,5,0,young,Billiards
v_Billiards_g06_c03,0,3,2,young,Billiards
v_Billiards_g08_c06,0,1,4,old,Billiards
v_Billiards_g09_c07,0,3,2,young,Billiards
v_Billiards_g10_c05,0,4,1,young,Billiards
v_Billiards_g11_c06,0,5,0,young,Billiards
v_Billiards_g13_c06,0,3,2,young,Billiards
v_Billiards_g14_c02,0,4,1,young,Billiards
v_Billiards_g14_c03,0,3,2,young,Billiards
v_Billiards_g14_c07,0,4,1,young,Billiards
v_Billiards_g15_c01,0,3,2,young,Billiards
v_Billiards_g15_c05,0,3,2,young,Billiards
v_Billiards_g18_c03,0,3,2,young,Billiards
v_Billiards_g18_c06,0,3,2,young,Billiards
v_Billiards_g20_c02,1,2,2,young,Billiards
v_Billiards_g20_c03,0,5,0,young,Billiards
v_Billiards_g21_c01,0,5,0,young,Billiards
v_Billiards_g21_c04,0,3,2,young,Billiards
v_Billiards_g25_c02,0,5,0,young,Billiards
v_Billiards_g25_c04,0,3,2,young,Billiards
v_Billiards_g25_c06,0,3,2,young,Billiards
v_BlowDryHair_g02_c01,5,0,0,kid,BlowDryHair
v_BlowDryHair_g02_c02,2,3,0,young,BlowDryHair
v_BlowDryHair_g02_c03,0,3,2,young,BlowDryHair
v_BlowDryHair_g03_c03,2,3,0,young,BlowDryHair
v_BlowDryHair_g03_c05,4,0,1,kid,BlowDryHair
v_BlowDryHair_g04_c01,0,4,1,young,BlowDryHair
v_BlowDryHair_g05_c04,1,2,2,young,BlowDryHair
v_BlowDryHair_g13_c03,4,0,1,kid,BlowDryHair
v_BlowDryHair_g17_c01,0,3,2,young,BlowDryHair
v_BlowDryHair_g19_c02,0,3,2,young,BlowDryHair
v_BlowDryHair_g19_c04,0,3,2,young,BlowDryHair
