video_name,thin_count,wide_count,final,category
v_BalanceBeam_g01_c04,0,5,wide,BalanceBeam
v_BalanceBeam_g02_c03,0,5,wide,BalanceBeam
v_BalanceBeam_g02_c04,1,4,wide,BalanceBeam
v_BalanceBeam_g05_c02,2,3,wide,BalanceBeam
v_BalanceBeam_g07_c04,2,3,wide,BalanceBeam
v_BalanceBeam_g08_c04,1,4,wide,BalanceBeam
v_BalanceBeam_g09_c02,1,4,wide,BalanceBeam
v_BalanceBeam_g11_c03,0,5,wide,BalanceBeam
v_BalanceBeam_g12_c01,2,3,wide,BalanceBeam
v_BalanceBeam_g13_c04,2,3,wide,BalanceBeam
v_BalanceBeam_g13_c05,2,3,wide,BalanceBeam
v_BalanceBeam_g14_c01,2,3,wide,BalanceBeam
v_BalanceBeam_g15_c04,2,3,wide,BalanceBeam
v_BalanceBeam_g20_c02,0,5,wide,BalanceBeam
v_BalanceBeam_g20_c04,2,3,wide,BalanceBeam
v_BalanceBeam_g25_c04,2,3,wide,BalanceBeam
v_BandMarching_g03_c04,1,4,wide,BandMarching
v_BandMarching_g05_c07,2,3,wide,BandMarching
v_BandMarching_g10_c02,2,3,wide,BandMarching
v_BandMarching_g10_c07,2,3,wide,BandMarching
v_BandMarching_g16_c03,5,0,thin,BandMarching
v_BandMarching_g16_c05,3,2,thin,BandMarching
v_BandMarching_g16_c06,4,1,thin,BandMarching
v_BandMarching_g21_c02,3,2,thin,BandMarching
v_BandMarching_g24_c03,2,3,wide,BandMarching
v_BandMarching_g25_c02,1,4,wide,BandMarching
v_BaseballPitch_g03_c01,2,3,wide,BaseballPitch
v_BaseballPitch_g03_c06,1,4,wide,BaseballPitch
v_BaseballPitch_g05_c01,3,2,thin,BaseballPitch
v_BaseballPitch_g05_c05,3,2,thin,BaseballPitch
v_BaseballPitch_g06_c03,4,1,thin,BaseballPitch
v_BaseballPitch_g06_c05,3,2,thin,BaseballPitch
v_BaseballPitch_g17_c06,1,4,wide,BaseballPitch
v_BaseballPitch_g17_c07,1,4,wide,BaseballPitch
v_BaseballPitch_g18_c06,0,5,wide,BaseballPitch
v_BaseballPitch_g19_c02,4,1,thin,BaseballPitch
v_BaseballPitch_g22_c06,1,4,wide,BaseballPitch
v_BasketballDunk_g01_c04,2,3,wide,BasketballDunk
v_BasketballDunk_g07_c02,1,4,wide,BasketballDunk
v_BasketballDunk_g11_c04,1,4,wide,BasketballDunk
v_CricketShot_g01_c04,4,1,thin,CricketShot
v_CricketShot_g01_c05,4,1,thin,CricketShot
v_CricketShot_g01_c06,3,2,thin,CricketShot
v_CricketShot_g04_c01,1,4,wide,CricketShot
