video_name,male_count,female_count,final,category
v_Archery_g07_c02,5,0,male,Archery
v_Archery_g07_c04,3,2,male,Archery
v_Archery_g09_c02,3,2,male,Archery
v_Archery_g09_c05,4,1,male,Archery
v_Archery_g23_c01,1,4,female,Archery
v_Archery_g23_c02,2,3,female,Archery
v_BandMarching_g01_c01,5,0,male,BandMarching
v_BandMarching_g02_c02,1,4,female,BandMarching
v_BandMarching_g02_c03,2,3,female,BandMarching
v_BandMarching_g02_c05,2,3,female,BandMarching
v_BandMarching_g03_c01,1,4,female,BandMarching
v_BandMarching_g03_c04,1,4,female,BandMarching
v_BandMarching_g05_c07,3,2,male,BandMarching
v_BandMarching_g06_c01,3,2,male,BandMarching
v_BandMarching_g07_c01,2,3,female,BandMarching
v_BandMarching_g07_c06,1,4,female,BandMarching
v_BandMarching_g07_c07,2,3,female,BandMarching
v_BandMarching_g08_c06,4,1,male,BandMarching
v_BandMarching_g09_c05,4,1,male,BandMarching
v_BandMarching_g09_c06,3,2,male,BandMarching
v_BandMarching_g10_c02,4,1,male,BandMarching
v_BandMarching_g10_c05,3,2,male,BandMarching
v_BandMarching_g10_c07,4,1,male,BandMarching
v_BandMarching_g11_c05,5,0,male,BandMarching
v_BandMarching_g11_c06,4,1,male,BandMarching
v_BandMarching_g11_c07,5,0,male,BandMarching
v_BandMarching_g12_c01,3,2,male,BandMarching
v_BandMarching_g12_c06,3,2,male,BandMarching
v_BandMarching_g14_c02,4,1,male,BandMarching
v_BandMarching_g14_c04,5,0,male,BandMarching
v_BandMarching_g15_c01,5,0,male,BandMarching
v_BandMarching_g15_c04,5,0,male,BandMarching
v_BandMarching_g15_c05,4,1,male,BandMarching
v_BandMarching_g16_c07,3,2,male,BandMarching
v_BandMarching_g17_c01,4,1,male,BandMarching
v_BandMarching_g17_c03,5,0,male,BandMarching
v_BandMarching_g18_c03,3,2,male,BandMarching
v_BandMarching_g19_c01,3,2,male,BandMarching
v_BandMarching_g19_c05,5,0,male,BandMarching
v_BandMarching_g19_c07,5,0,male,BandMarching
v_BandMarching_g20_c01,5,0,male,BandMarching
v_BandMarching_g20_c04,5,0,male,BandMarching
v_BandMarching_g21_c01,1,4,female,BandMarching
v_BandMarching_g22_c01,3,2,male,BandMarching
v_BandMarching_g24_c02,4,1,male,BandMarching
v_BandMarching_g24_c03,4,1,male,BandMarching
v_BandMarching_g24_c04,5,0,male,BandMarching
v_BandMarching_g25_c01,0,5,female,BandMarching
v_BandMarching_g25_c06,0,5,female,BandMarching
v_BandMarching_g25_c07,0,5,female,BandMarching
v_BaseballPitch_g15_c03,2,3,female,BaseballPitch
v_BaseballPitch_g15_c07,1,4,female,BaseballPitch
v_BasketballDunk_g03_c04,0,5,female,BasketballDunk
v_BasketballDunk_g03_c05,1,4,female,BasketballDunk
v_BasketballDunk_g11_c02,1,4,female,BasketballDunk
v_BasketballDunk_g11_c05,1,4,female,BasketballDunk
v_BasketballDunk_g14_c05,2,3,female,BasketballDunk
v_BasketballDunk_g15_c07,1,4,female,BasketballDunk
v_BasketballDunk_g16_c06,2,3,female,BasketballDunk
v_BasketballDunk_g17_c05,1,4,female,BasketballDunk
v_BasketballDunk_g19_c04,2,3,female,BasketballDunk
v_BasketballDunk_g21_c02,1,4,female,BasketballDunk
v_BasketballDunk_g23_c01,2,3,female,BasketballDunk
v_BasketballDunk_g24_c01,1,4,female,BasketballDunk
v_Basketball_g01_c02,4,1,male,Basketball
v_Basketball_g01_c04,3,2,male,Basketball
v_Basketball_g01_c05,3,2,male,Basketball
v_Basketball_g04_c02,4,1,male,Basketball
v_Basketball_g05_c01,3,2,male,Basketball
v_Basketball_g06_c01,3,2,male,Basketball
v_Basketball_g07_c03,3,2,male,Basketball
v_Basketball_g07_c04,3,2,male,Basketball
v_Basketball_g08_c03,0,5,female,Basketball
v_Basketball_g09_c01,2,3,female,Basketball
v_Basketball_g10_c02,2,3,female,Basketball
v_Basketball_g11_c01,1,4,female,Basketball
v_Basketball_g11_c03,1,4,female,Basketball
v_Basketball_g14_c02,4,1,male,Basketball
v_Basketball_g14_c03,4,1,male,Basketball
v_Basketball_g16_c02,2,3,female,Basketball
v_Basketball_g17_c02,5,0,male,Basketball
v_Basketball_g18_c05,0,5,female,Basketball
v_Basketball_g19_c04,5,0,male,Basketball
v_Basketball_g20_c04,2,3,female,Basketball
v_Basketball_g21_c01,3,2,male,Basketball
v_Basketball_g23_c02,2,3,female,Basketball
v_Basketball_g23_c06,2,3,female,Basketball
v_Basketball_g24_c01,4,1,male,Basketball
v_Basketball_g25_c01,0,5,female,Basketball
v_Basketball_g25_c06,1,4,female,Basketball
v_BenchPress_g08_c04,1,4,female,BenchPress
v_BenchPress_g09_c02,1,4,female,BenchPress
v_BenchPress_g24_c04,3,2,male,BenchPress
v_BenchPress_g24_c05,3,2,male,BenchPress
v_BenchPress_g24_c06,3,2,male,BenchPress
v_Biking_g05_c01,5,0,male,Biking
v_Biking_g05_c02,5,0,male,Biking
v_Biking_g05_c05,4,1,male,Biking
v_Biking_g06_c01,1,4,female,Biking
v_Biking_g06_c04,2,3,female,Biking
v_Biking_g07_c02,0,5,female,Biking
v_Biking_g07_c03,2,3,female,Biking
v_Biking_g10_c05,3,2,male,Biking
v_Biking_g11_c03,5,0,male,Biking
v_Biking_g12_c03,3,2,male,Biking
v_Biking_g12_c04,5,0,male,Biking
v_Biking_g13_c04,4,1,male,Biking
v_Biking_g13_c05,5,0,male,Biking
v_Biking_g16_c02,3,2,male,Biking
v_Biking_g22_c03,3,2,male,Biking
v_Biking_g24_c02,5,0,male,Biking
v_Biking_g24_c04,5,0,male,Biking
v_Billiards_g01_c02,5,0,male,Billiards
v_Billiards_g01_c03,3,2,male,Billiards
v_Billiards_g01_c06,3,2,male,Billiards
v_Billiards_g02_c01,2,3,female,Billiards
v_Billiards_g03_c05,1,4,female,Billiards
v_Billiards_g05_c01,2,3,female,Billiards
v_Billiards_g06_c02,3,2,male,Billiards
v_Billiards_g06_c04,4,1,male,Billiards
v_Billiards_g07_c03,2,3,female,Billiards
v_Billiards_g08_c02,1,4,female,Billiards
v_Billiards_g09_c06,1,4,female,Billiards
v_Billiards_g11_c01,1,4,female,Billiards
v_Billiards_g11_c06,2,3,female,Billiards
v_Billiards_g11_c07,1,4,female,Billiards
v_Billiards_g12_c03,2,3,female,Billiards
v_Billiards_g13_c05,0,5,female,Billiards
v_Billiards_g13_c06,2,3,female,Billiards
v_Billiards_g14_c03,0,5,female,Billiards
v_Billiards_g17_c02,2,3,female,Billiards
v_Billiards_g17_c04,1,4,female,Billiards
v_Billiards_g18_c04,2,3,female,Billiards
v_Billiards_g18_c06,2,3,female,Billiards
v_Billiards_g21_c01,2,3,female,Billiards
v_Billiards_g21_c02,2,3,female,Billiards
v_Billiards_g23_c01,5,0,male,Billiards
v_Billiards_g23_c02,4,1,male,Billiards
v_Billiards_g25_c02,0,5,female,Billiards
v_Billiards_g25_c03,2,3,female,Billiards
v_Billiards_g25_c06,2,3,female,Billiards
v_BlowingCandles_g03_c04,5,0,male,BlowingCandles
v_BlowingCandles_g09_c03,5,0,male,BlowingCandles
v_BlowingCandles_g11_c01,3,2,male,BlowingCandles
v_BlowingCandles_g11_c02,5,0,male,BlowingCandles
v_BlowingCandles_g12_c05,5,0,male,BlowingCandles
v_BlowingCandles_g25_c04,4,1,male,BlowingCandles
v_BlowingCandles_g25_c05,4,1,male,BlowingCandles
v_BlowingCandles_g25_c06,3,2,male,BlowingCandles
v_BodyWeightSquats_g09_c05,0,5,female,BodyWeightSquats
v_BodyWeightSquats_g09_c06,0,5,female,BodyWeightSquats
v_BodyWeightSquats_g09_c07,0,5,female,BodyWeightSquats
v_Bowling_g01_c02,5,0,male,Bowling
v_Bowling_g01_c03,4,1,male,Bowling
v_Bowling_g03_c02,0,5,female,Bowling
v_Bowling_g03_c03,2,3,female,Bowling
v_Bowling_g03_c06,0,5,female,Bowling
v_Bowling_g05_c03,0,5,female,Bowling
v_Bowling_g07_c03,2,3,female,Bowling
v_Bowling_g07_c05,2,3,female,Bowling
v_Bowling_g08_c06,0,5,female,Bowling
v_Bowling_g08_c07,0,5,female,Bowling
v_Bowling_g10_c02,2,3,female,Bowling
v_Bowling_g11_c02,1,4,female,Bowling
v_Bowling_g11_c04,1,4,female,Bowling
v_Bowling_g11_c07,2,3,female,Bowling
v_Bowling_g12_c03,5,0,male,Bowling
