video_name,white_count,asian_count,black_count,middle_eastern_count,indian_count,hispanic_count,final,category
v_ApplyEyeMakeup_g02_c04,1,0,4,0,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c01,0,5,0,0,0,0,asian,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c02,0,5,0,0,0,0,asian,ApplyEyeMakeup
v_ApplyEyeMakeup_g04_c03,0,0,5,0,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g05_c04,0,0,5,0,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g05_c06,4,0,1,0,0,0,white,ApplyEyeMakeup
v_ApplyEyeMakeup_g05_c07,2,0,3,0,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g07_c01,1,0,4,0,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g07_c02,0,0,5,0,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c03,4,1,0,0,0,0,white,ApplyEyeMakeup
v_ApplyEyeMakeup_g13_c01,4,1,0,0,0,0,white,ApplyEyeMakeup
v_ApplyEyeMakeup_g13_c02,5,0,0,0,0,0,white,ApplyEyeMakeup
v_ApplyEyeMakeup_g13_c05,3,2,0,0,0,0,white,ApplyEyeMakeup
v_ApplyEyeMakeup_g14_c04,2,2,1,0,0,0,white,ApplyEyeMakeup
v_ApplyEyeMakeup_g15_c01,3,2,0,0,0,0,white,ApplyEyeMakeup
v_ApplyEyeMakeup_g15_c04,4,0,1,0,0,0,white,ApplyEyeMakeup
v_ApplyEyeMakeup_g21_c05,0,2,3,0,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g22_c03,0,3,2,0,0,0,asian,ApplyEyeMakeup
v_ApplyEyeMakeup_g23_c03,0,0,5,0,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g23_c05,0,1,4,0,0,0,black,ApplyEyeMakeup
v_ApplyEyeMakeup_g23_c06,0,1,4,0,0,0,black,ApplyEyeMakeup
v_ApplyLipstick_g05_c01,3,2,0,0,0,0,white,ApplyLipstick
v_ApplyLipstick_g05_c02,3,2,0,0,0,0,white,ApplyLipstick
v_ApplyLipstick_g09_c02,2,0,3,0,0,0,black,ApplyLipstick
v_ApplyLipstick_g13_c01,0,3,2,0,0,0,asian,ApplyLipstick
v_ApplyLipstick_g15_c02,5,0,0,0,0,0,white,ApplyLipstick
v_ApplyLipstick_g15_c03,5,0,0,0,0,0,white,ApplyLipstick
v_ApplyLipstick_g16_c03,2,0,3,0,0,0,black,ApplyLipstick
v_ApplyLipstick_g16_c04,5,0,0,0,0,0,white,ApplyLipstick
v_ApplyLipstick_g20_c01,3,0,2,0,0,0,white,ApplyLipstick
v_Archery_g03_c04,1,4,0,0,0,0,asian,Archery
v_Archery_g03_c05,1,4,0,0,0,0,asian,Archery
v_Archery_g05_c01,2,3,0,0,0,0,asian,Archery
v_Archery_g05_c02,2,3,0,0,0,0,asian,Archery
v_Archery_g06_c02,4,0,1,0,0,0,white,Archery
v_Archery_g06_c04,3,0,2,0,0,0,white,Archery
v_Archery_g07_c04,1,0,4,0,0,0,black,Archery
