Category,Age Class,Age DR,Age Chi-Square,Body Class,Body DR,Body Chi-Square,Gender Class,Gender DR,Gender Chi-Square,Hair Class,Hair DR,Hair Chi-Square,Race Class,Race DR,Race Chi-Square
ApplyEyeMakeup,teenager,1.0,0.0,thin,1.0,0.0,female,1.0,0.0,blonde,0.3758620689655172,36.751724137931035,asian,0.22528735632183908,76.64827586206896
ApplyLipstick,teenager,0.4649122807017544,84.24561403508773,thin,1.0,0.0,female,1.0,0.0,blonde,0.3026315789473684,5.052631578947368,asian,0.17251461988304093,19.63157894736842
Archery,teenager,1.0,0.0,thin,1.0,0.0,male,0.3758620689655172,36.751724137931035,black,0.2413793103448276,106.64827586206896,white,0.4413793103448276,84.97241379310344
BabyCrawling,kid,1.0,0.0,thin,1.0,0.0,female,1.0,0.0,blonde,0.45454545454545453,88.36363636363636,white,0.4393939393939394,75.75757575757575
BalanceBeam,teenager,1.0,0.0,thin,1.0,0.0,female,1.0,0.0,blonde,0.42592592592592593,53.48148148148148,white,0.46296296296296297,78.37037037037037
BandMarching,teenager,1.0,0.0,thin,0.45806451612903226,107.36129032258064,female,0.3903225806451613,48.83225806451613,black,0.36451612903225805,32.52258064516129,white,0.4870967741935484,139.41290322580645
BaseballPitch,teenager,1.0,0.0,thin,0.36333333333333334,30.826666666666668,male,1.0,0.0,black,0.4066666666666667,58.906666666666666,white,0.4766666666666667,123.30666666666667
Basketball,teenager,0.48507462686567165,118.4776119402985,thin,1.0,0.0,male,0.30223880597014924,5.850746268656716,black,0.39925373134328357,47.76119402985075,white,0.47388059701492535,107.46268656716418
BasketballDunk,teenager,1.0,0.0,thin,1.0,0.0,male,1.0,0.0,black,0.36259541984732824,26.572519083969464,white,1.0,0.0
BenchPress,teenager,1.0,0.0,thin,1.0,0.0,male,0.465625,119.025,black,0.396875,55.225,white,0.45625,108.9
Biking,teenager,0.40298507462686567,50.17910447761194,thin,1.0,0.0,female,0.3917910447761194,43.1044776119403,black,0.35447761194029853,23.402985074626866,white,0.4253731343283582,65.94029850746269
Billiards,teenager,1.0,0.0,thin,1.0,0.0,male,0.45,96.0,blonde,0.26,0.24,black,0.46,105.84
