Bias,Action,Search Query,Title,Video ID,Link,Description,Published At,Duration (seconds),View Count,Like Count,Comment Count,Topics,source_file,Bias_Duplicates,Is_Duplicate
Male,ApplyEyeMakeup,Male ApplyEyeMakeup,Beginners Eye Makeup Tutorial | Parts of the Eye | How To Apply Eyeshadow,d8bct2_ix4U,https://www.youtube.com/watch?v=d8bct2_ix4U,Beginners Eye Makeup Tutorial | Parts of the Eye | How To Apply Eyeshadow PLEASE NOTE : Due to My Chronic Illness ...,2018-10-15T19:30:00Z,243,8883685,160259,1880,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Female;White person;Black person;Indian person;Kid;Young person;Old person;Red hair;Blonde hair;Black hair;White hair,No
Male,ApplyEyeMakeup,Male ApplyEyeMakeup,How To STOP Kajal/Eyeliner from Smudging! 💯,GciNf7wcwdI,https://www.youtube.com/watch?v=GciNf7wcwdI,"In this tutorial, I'm going to show you how to stop or prevent your kajal, eyeliner or eye pencil from smudging. Kajal eyeliner can ...",2023-05-11T13:30:05Z,281,6028116,27534,414,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;White person;Black person;Indian person;Asian person;Kid;Red hair;Black hair;White hair,No
Male,ApplyEyeMakeup,Male ApplyEyeMakeup,"How to Apply Eye Makeup on Dark, Indian Skin : Eye Makeup",VmedwZy6lc8,https://www.youtube.com/watch?v=VmedwZy6lc8,Subscribe Now: http://www.youtube.com/subscription_center?add_user=Ehowbeauty Watch More: ...,2012-08-26T13:14:59Z,252,255038,487,101,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Asian person;Red hair;Black hair,No
Male,ApplyEyeMakeup,Male ApplyEyeMakeup,Learn How To Use our Baked Starter Kit | Laura Geller Beauty,vqnCT1aEf30,https://www.youtube.com/watch?v=vqnCT1aEf30,Discover the best of Laura's iconic baked favorites! This three-piece kit includes The Best of the Best Baked Face Palette which ...,2023-06-19T19:00:32Z,245,331063,2032,194,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Female;Black person;Old person,No
Male,ApplyEyeMakeup,Male ApplyEyeMakeup,My Go-To Everyday Eyeshadow Look Using Only 1 Brush! | ColourPop Free to Be Quad,yvFriTVy5AM,https://www.youtube.com/watch?v=yvFriTVy5AM,FOLLOW ME! Instagram @angelabright Twitter @angelabright MY LASH LINE - THE BRIGHT LASHES http://thebrightlashes.com ...,2021-09-06T16:00:27Z,282,6767726,132980,639,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Female;White person;Black person;Hispanic person;Kid;Red hair;Blonde hair;Black hair;White hair,No
Male,ApplyEyeMakeup,Male ApplyEyeMakeup,How to Apply Scene Eye Makeup,c3bu27pPzPo,https://www.youtube.com/watch?v=c3bu27pPzPo,"How to Apply Scene Eye Makeup. Part of the series: Eye Makeup. Scene eye makeup consists of thick, black eyeliner, dark eye ...",2015-05-21T22:58:41Z,244,2222,14,1,Lifestyle (sociology),ApplyEyeMakeup_results.csv,,No
Male,ApplyEyeMakeup,Male ApplyEyeMakeup,"Quick, Easy &amp; Simple Eyeshadow Tutorial",LJNdwLhClpg,https://www.youtube.com/watch?v=LJNdwLhClpg,"Hiiii! In today's makeup tutorial I will show you how to apply and blend out cute, quick, easy and simple eyeshadows for beginners ...",2024-12-10T20:26:37Z,296,61677,1316,33,Lifestyle (sociology),ApplyEyeMakeup_results.csv,,No
Male,ApplyEyeMakeup,Male ApplyEyeMakeup,These are the ONLY 4 Brushes You Need for Eye Makeup!,WExdnqLreRA,https://www.youtube.com/watch?v=WExdnqLreRA,"If you're a beginner, here are the only 4 eye makeup brushes you'll need to practice eye makeup. I hope you enjoy this tutorial.",2021-07-18T13:30:03Z,265,1504590,42936,567,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;White person;Indian person;Wide body;Thin body;White hair,No
Male,ApplyEyeMakeup,Male ApplyEyeMakeup,Esties&#39; Make-up Tutorial: Comic-con Goblin Witch Cosplay,MfrqWvBJvhg,https://www.youtube.com/watch?v=MfrqWvBJvhg,http://shop.estiesinternational.com/ Estie demonstrates make-up tip on how to apply goblin make-up for Halloween or a costume ...,2010-10-01T06:27:35Z,253,20741,62,7,"Hobby, Lifestyle (sociology)",ApplyEyeMakeup_results.csv,,No
Female,ApplyEyeMakeup,Female ApplyEyeMakeup,Beginners Eye Makeup Tutorial | Parts of the Eye | How To Apply Eyeshadow,d8bct2_ix4U,https://www.youtube.com/watch?v=d8bct2_ix4U,Beginners Eye Makeup Tutorial | Parts of the Eye | How To Apply Eyeshadow PLEASE NOTE : Due to My Chronic Illness ...,2018-10-15T19:30:00Z,243,8883685,160259,1880,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Female;White person;Black person;Indian person;Kid;Young person;Old person;Red hair;Blonde hair;Black hair;White hair,Yes
